user_id,num_following,num_followers,num_tweets,len_of_screen_name,len_of_profile_description,num_following_changes,is_spam
25376021,2000,1361,784,4,47,1149,1
107634841,634,66,2,12,0,195,1
89034290,1,1,7,6,0,459,-1
62944277,5,3,275,12,43,459,-1
33164709,941,576,1245,6,33,1149,-1
105508489,797,90,0,9,0,906,1
112628881,1741,170,5,15,19,1149,1
28419477,61,18,465,10,45,689,-1
57288595,209,86,161,11,0,919,-1
20962827,310,151,477,9,0,919,-1
50987996,13,32,776,9,97,689,-1
94888419,920,742,24,12,35,1141,1
133938283,850,87,6,14,147,1117,1
29397579,63,84,508,7,31,689,-1
14185827,9048,9039,4,10,159,1149,1
91388271,1990,1574,50,14,86,1149,1
116490088,1693,682,3263,14,80,1149,1
14540155,72,89,166,7,0,740,-1
81041724,1001,364,2412,14,132,1149,1
161747660,780,179,3,15,0,798,1
140431512,240,87,45,10,0,919,1
18233083,88,141,1135,13,80,689,-1
118884111,6,2,5,15,79,670,1
60168263,38,36,862,10,0,689,-1
120048410,483,556,6014,10,77,919,1
96312764,758,116,581,10,0,1013,1
37313599,10418,10751,691,11,152,1379,1
53703022,2325,2243,7545,13,92,1149,1
163229819,1448,94,6,15,95,1138,1
57589770,0,61,26430,11,0,459,-1
16888479,50,41,419,10,0,689,-1
45957027,1196,682,101,10,121,1149,1
139722879,503,28,56,8,28,918,1
136792228,142,5,1,10,0,1127,1
109429203,828,460,199,15,145,1031,1
121514617,509,132,75,10,26,919,1
164350414,111,2,0,15,0,279,1
57867918,125,88,91,14,57,919,1
18578392,35,40,501,14,0,689,-1
19375211,58,127,7724,7,0,689,-1
40406659,76,102,371,13,160,689,-1
105491458,1231,1123,43,15,49,1149,1
66479050,1264,579,3155,5,66,1149,1
28699799,46,37,492,10,0,689,-1
69090925,311,180,48,12,0,919,1
112716281,441,74,5,14,0,131,1
32714752,105,203,4914,9,4,919,-1
56797188,62,86,475,11,24,689,-1
97431636,252,131,176,11,0,95,1
157453673,1192,297,158,13,88,669,1
79209748,1,41,5520,13,17,459,-1
144735457,260,8,5,15,23,919,1
55839019,9,10,37,14,33,459,-1
66176731,1860,1629,1231,9,114,1149,1
89170263,3,5,35,8,0,459,-1
114705341,1790,377,645,13,133,1149,1
29292441,304,119,3014,15,0,919,-1
74663379,164,166,1063,9,0,919,-1
18877547,1040,1987,293,13,144,1149,1
19793047,51,32,10,15,41,689,-1
136990734,224,116,1584,12,128,159,1
66553311,755,109,559,6,0,919,1
71600299,73,4,3,8,0,850,1
96691200,1752,498,587,10,92,1145,1
103928235,120,11,4,15,87,919,1
159827505,90,12,42,6,0,897,1
147151366,1564,815,436,8,83,1149,1
113262248,487,86,28,7,19,891,1
130751820,158,24,191,13,0,919,1
18640980,19715,17923,16525,10,71,1379,1
55001740,315,158,379,14,59,919,1
101232525,385,23,1,15,0,893,1
33134201,306,449,681,10,112,919,-1
45798808,366,155,2862,13,0,919,-1
61040491,1897,1484,1691,13,146,1149,1
48742792,112,30,39,15,40,689,-1
14915003,1537,1189,1607,7,66,1149,1
98531473,1344,958,48,14,156,1149,1
18548136,49705,50552,5147,14,149,1379,1
85153427,1034,328,2910,12,160,1035,1
101277436,95,2,96,12,0,322,1
16998672,32,2513,369,11,127,1033,-1
149977422,1361,556,7,7,109,89,1
103008022,1170,708,474,14,114,1149,1
162608535,12,0,3,9,0,689,1
30636207,3968,3607,11,13,121,1149,1
44870691,5626,5164,35,9,0,1149,1
26507864,1414,445,1300,13,0,1149,1
113557720,2,0,2,11,0,459,1
19085281,1038,840,68,9,97,1147,1
35557772,80,81,1269,9,14,689,-1
34886859,23,32,2519,9,18,916,-1
76332820,161,396,2955,11,115,919,-1
21734931,230,117,2244,10,46,919,-1
114738338,857,543,1359,15,126,919,1
131223036,1232,1062,2500,14,0,1079,1
72839345,1998,677,21,13,0,1149,1
147750414,580,190,199,13,108,919,1
108849281,492,117,45,12,0,919,1
51476875,6,3,13,9,0,689,-1
14660652,83,95,537,8,75,919,-1
31322920,26,29,244,10,0,689,-1
62345990,164,53,304,9,58,875,1
22428125,141,248,5326,10,75,919,-1
139705924,92,1,1,5,135,689,1
107552456,664,381,209,15,105,1072,1
78882969,10,1,7,9,51,665,1
120738847,838,710,122,15,112,911,1
