iterations,fitness,time,fevals
0,22.0,0.000775400000009,440
10,23.0,0.00136700000002,768
20,25.0,0.0019345,1110
30,27.0,0.0025626,1454
40,26.0,0.00305320000001,1787
50,26.0,0.003535,2125
60,26.0,0.0040582,2465
70,26.0,0.00451139999998,2788
80,29.0,0.00501459999998,3129
90,29.0,0.00546649999998,3475
100,29.0,0.00612919999998,3809
110,29.0,0.00668979999998,4137
120,30.0,0.00711949999999,4465
130,31.0,0.00765279999999,4804
140,31.0,0.00815489999999,5150
150,32.0,0.00869040000001,5486
160,33.0,0.00925190000001,5816
170,34.0,0.00976210000002,6149
180,33.0,0.0103156,6487
190,33.0,0.0109586,6828
200,31.0,0.0115756,7169
210,32.0,0.0123973,7508
220,33.0,0.013028,7841
230,35.0,0.0140639,8176
240,33.0,0.0149664,8504
250,33.0,0.0156532,8834
260,34.0,0.016476,9177
270,34.0,0.017299,9506
280,35.0,0.0180672,9840
290,35.0,0.0187832,10166
300,35.0,0.0193972,10501
310,34.0,0.0199783,10835
320,34.0,0.0206168,11169
330,34.0,0.0212449,11500
340,35.0,0.0220242,11833
350,36.0,0.0226538,12159
360,35.0,0.0232504,12486
370,35.0,0.0238188,12822
380,35.0,0.0243561,13158
390,35.0,0.0249427,13484
400,36.0,0.0254761,13820
410,36.0,0.026009,14143
420,35.0,0.026751,14482
430,36.0,0.0273258,14813
440,35.0,0.0279146,15145
450,35.0,0.0285188,15478
460,37.0,0.0290919,15801
470,37.0,0.0296058,16137
480,42.0,0.0301761,16473
490,40.0,0.0307451,16803
500,38.0,0.0314061,17137
510,37.0,0.0320623,17474
520,38.0,0.0328092,17809
530,42.0,0.033712,18145
540,42.0,0.0345954,18484
550,42.0,0.0358505,18815
560,37.0,0.0364866,19143
570,38.0,0.0371959,19471
580,37.0,0.0377644,19800
590,37.0,0.0383455,20126
600,37.0,0.0390017,20459
610,37.0,0.0396267,20793
620,38.0,0.0401736,21126
630,38.0,0.0408732,21459
640,40.0,0.0414535,21792
650,40.0,0.0419998,22125
660,40.0,0.0425301,22456
670,40.0,0.0430567,22796
680,41.0,0.043709,23134
690,41.0,0.0442494,23475
700,42.0,0.0449017,23815
710,41.0,0.045386,24146
720,42.0,0.0459242,24481
730,42.0,0.0464714,24801
740,42.0,0.0469913,25136
750,43.0,0.0475394,25465
760,43.0,0.0481144,25795
770,42.0,0.0486801,26134
780,43.0,0.0491868,26470
790,43.0,0.0497674,26804
800,42.0,0.050267,27137
810,45.0,0.0509215,27479
820,44.0,0.0514205,27817
830,42.0,0.0519428,28131
840,42.0,0.0524061,28471
850,42.0,0.0528771,28805
860,42.0,0.0544388,29154
870,42.0,0.0549513,29480
880,42.0,0.0553959999999,29805
890,42.0,0.0559186,30144
900,42.0,0.0564294,30476
910,45.0,0.0570672,30815
920,44.0,0.0575685,31161
930,43.0,0.0580519,31494
940,45.0,0.0585088999999,31842
950,45.0,0.0591125999999,32182
960,44.0,0.0595979999999,32518
970,44.0,0.0600145999999,32846
980,44.0,0.0605393999999,33167
990,43.0,0.0610263999999,33490
1000,43.0,0.0615501999999,33811
1010,43.0,0.0620444999999,34149
1020,44.0,0.0625487999999,34477
1030,44.0,0.0630160999999,34814
1040,44.0,0.0635461999999,35151
1050,44.0,0.0640424999999,35481
1060,44.0,0.0645126999999,35822
1070,44.0,0.0649897999998,36156
1080,44.0,0.0657400999998,36490
1090,46.0,0.0662078999998,36826
1100,46.0,0.0667903999998,37157
1110,45.0,0.0672883999998,37489
1120,53.0,0.0677860999998,37824
1130,48.0,0.0682650999998,38156
1140,47.0,0.0687181999998,38484
1150,49.0,0.0691970999998,38817
1160,49.0,0.0696400999998,39154
1170,50.0,0.0701150999998,39490
1180,50.0,0.0706219999998,39821
1190,51.0,0.0711221999998,40151
1200,54.0,0.0723568999998,40487
1210,58.0,0.0731594999999,40819
1220,58.0,0.0735823999999,41156
1230,55.0,0.0740882999999,41487
1240,58.0,0.0746236999999,41830
1250,58.0,0.0751152999999,42159
1260,57.0,0.0756742999999,42490
1270,57.0,0.0761489999998,42834
1280,57.0,0.0765835999999,43166
1290,59.0,0.0770648999998,43498
1300,59.0,0.0774969999999,43834
1310,59.0,0.0779251999998,44168
1320,60.0,0.0784358999998,44495
1330,61.0,0.0789189999998,44820
1340,60.0,0.0793560999998,45154
1350,60.0,0.0798111999999,45487
1360,60.0,0.0803710999999,45818
1370,60.0,0.0808176999999,46146
1380,60.0,0.0813918999999,46480
1390,60.0,0.0819215999999,46820
1400,61.0,0.0824530999999,47152
1410,60.0,0.0828808999999,47497
1420,60.0,0.0833114999999,47843
1430,61.0,0.0838218999999,48180
1440,61.0,0.0842759999999,48522
1450,61.0,0.0847388999999,48854
1460,63.0,0.0851791999999,49195
1470,62.0,0.0856213999999,49529
1480,61.0,0.0860502999999,49857
1490,63.0,0.0865037999999,50204
1500,62.0,0.0870179999999,50526
1510,62.0,0.0874480999999,50854
1520,62.0,0.0880843999999,51184
1530,62.0,0.0885035999999,51513
1540,62.0,0.0890221999999,51842
1550,62.0,0.0894606999999,52184
1560,63.0,0.0899035999999,52514
1570,62.0,0.0904114999999,52848
1580,61.0,0.0908366999999,53178
1590,61.0,0.0912777999999,53510
1600,64.0,0.0916973999999,53833
1610,64.0,0.0921085999999,54155
1620,63.0,0.0926631999999,54487
1630,61.0,0.0931055999999,54835
1640,64.0,0.0935678999998,55168
1650,64.0,0.0939932999999,55499
1660,61.0,0.0944829999999,55843
1670,61.0,0.0950266999999,56183
1680,61.0,0.0954327999999,56528
1690,61.0,0.0960078999999,56873
1700,61.0,0.0965619999999,57205
1710,61.0,0.0970845999999,57532
1720,60.0,0.0974916999999,57867
1730,60.0,0.0978974999999,58198
1740,59.0,0.0983702999999,58530
1750,59.0,0.0987538999999,58854
1760,60.0,0.0991742999999,59193
1770,60.0,0.0996426999999,59520
1780,60.0,0.1001992,59848
1790,60.0,0.1007564,60188
1800,60.0,0.101196,60504
1810,61.0,0.1017778,60835
1820,61.0,0.1021995,61165
1830,61.0,0.1027448,61492
1840,62.0,0.1031933,61823
1850,62.0,0.1036026,62161
1860,62.0,0.1040198,62498
1870,61.0,0.1044675,62828
1880,61.0,0.1050862,63161
1890,60.0,0.1055328,63491
1900,60.0,0.1059648,63845
1910,61.0,0.1063866,64184
1920,61.0,0.1069208,64517
1930,62.0,0.1073653,64851
1940,62.0,0.1077839,65189
1950,68.0,0.1082225,65537
1960,66.0,0.1086809,65873
1970,69.0,0.1091094,66216
1980,66.0,0.109622,66558
1990,66.0,0.1100372,66883
2000,68.0,0.1104409,67205
2010,62.0,0.1108641,67531
2020,62.0,0.1112794,67863
2030,62.0,0.1116879,68198
2040,62.0,0.1121298,68530
2050,62.0,0.1125394,68866
2060,68.0,0.1129677,69203
2070,62.0,0.1133605,69534
2080,62.0,0.1137726,69870
2090,62.0,0.1141627,70211
2100,62.0,0.1146092,70544
2110,62.0,0.11503,70876
2120,62.0,0.1154251,71203
2130,62.0,0.1158273,71541
2140,65.0,0.1162551,71874
2150,62.0,0.1166537,72214
2160,62.0,0.1171153,72555
2170,63.0,0.1175747,72892
2180,62.0,0.1180753,73232
2190,66.0,0.1184638,73567
2200,66.0,0.1189021,73897
2210,62.0,0.1193333,74235
2220,62.0,0.1197921,74564
2230,63.0,0.1202066,74902
2240,63.0,0.1206829,75238
2250,63.0,0.121088,75573
2260,63.0,0.1215221,75908
2270,62.0,0.1218997,76235
2280,63.0,0.1222852,76564
2290,62.0,0.1226895,76900
2300,62.0,0.123098,77233
2310,62.0,0.1235015,77566
2320,62.0,0.1238817,77891
2330,63.0,0.1243028,78229
2340,63.0,0.1248357,78570
2350,63.0,0.1252889,78902
2360,63.0,0.1257024,79238
2370,63.0,0.1260785,79572
2380,63.0,0.1264612,79906
2390,63.0,0.1268722,80249
2400,63.0,0.1272711,80577
2410,63.0,0.1277759,80917
2420,63.0,0.1282616,81258
2430,63.0,0.1286742,81584
2440,63.0,0.1290853,81922
2450,63.0,0.129486,82252
2460,63.0,0.1299588,82579
2470,63.0,0.1304027,82905
2480,63.0,0.1308881,83235
2490,63.0,0.1324036,83576
2500,63.0,0.1327693,83914
2510,64.0,0.133137,84248
2520,63.0,0.1336054,84586
2530,63.0,0.1345497,84928
2540,63.0,0.1349287,85252
2550,63.0,0.1353145,85595
2560,63.0,0.1357012,85935
2570,64.0,0.1361179,86267
2580,64.0,0.1366508,86596
2590,65.0,0.137071,86937
2600,65.0,0.1376003,87260
2610,67.0,0.1380246,87589
2620,65.0,0.1384362,87925
2630,65.0,0.138838,88264
2640,67.0,0.1392313,88599
2650,67.0,0.1396007,88936
2660,65.0,0.1399973,89277
2670,65.0,0.1403459,89612
2680,67.0,0.1407168,89946
2690,65.0,0.1411122,90277
2700,65.0,0.1414931,90614
2710,65.0,0.1418657,90949
2720,67.0,0.1424343,91282
2730,65.0,0.1428928,91612
2740,65.0,0.143342,91954
2750,67.0,0.1438277,92288
2760,68.0,0.1441874,92629
2770,65.0,0.1445562,92964
2780,67.0,0.1449705,93291
2790,68.0,0.1454123,93622
2800,67.0,0.1458032,93943
2810,67.0,0.1462959,94279
2820,67.0,0.1466899,94610
2830,67.0,0.1471661,94952
2840,67.0,0.1475962,95292
2850,67.0,0.1479843,95632
2860,67.0,0.1483407,95966
2870,67.0,0.1487014,96295
2880,67.0,0.1490701,96627
2890,70.0,0.1495535,96967
2900,70.0,0.149904,97307
2910,70.0,0.1502662,97639
2920,70.0,0.1506517,97976
2930,71.0,0.1510497,98305
2940,70.0,0.1514494,98642
2950,70.0,0.1518063,98971
2960,70.0,0.1521956,99308
2970,70.0,0.1527148,99638
2980,71.0,0.1532106,99964
2990,71.0,0.1537024,100296
3000,72.0,0.1542284,100627
3010,72.0,0.1546099,100969
3020,73.0,0.1550121,101293
3030,73.0,0.1553882,101615
3040,71.0,0.1558236,101959
3050,71.0,0.1561993,102297
3060,71.0,0.1566273,102636
3070,71.0,0.1570321,102975
3080,72.0,0.1574801,103319
3090,71.0,0.1578546,103658
3100,72.0,0.158245,103992
3110,71.0,0.1586587,104316
3120,71.0,0.1590268,104654
3130,71.0,0.1594295,104999
3140,74.0,0.1600251,105342
3150,74.0,0.1604716,105682
3160,74.0,0.1608737,106014
3170,74.0,0.1612546,106341
3180,74.0,0.1617689,106677
3190,74.0,0.162283,107008
3200,74.0,0.162916,107332
3210,74.0,0.1633024,107662
3220,74.0,0.1637756,108011
3230,77.0,0.1642772,108340
3240,77.0,0.1646696,108681
3250,77.0,0.1650565,109003
3260,78.0,0.1655113,109333
3270,74.0,0.1658986,109658
3280,74.0,0.1662962,109984
3290,74.0,0.1667507,110321
3300,74.0,0.1671196,110651
3310,78.0,0.1675077,110980
3320,76.0,0.1679215,111305
3330,75.0,0.1683374,111638
3340,75.0,0.1687288,111985
3350,75.0,0.1691088,112307
3360,83.0,0.1694966,112637
3370,83.0,0.1698899,112975
3380,83.0,0.1703059,113311
3390,90.0,0.170723,113651
3400,90.0,0.1710905,113983
3410,90.0,0.1715151,114304
3420,90.0,0.1719051,114638
3430,90.0,0.1725318,114978
3440,90.0,0.1730509,115317
3450,90.0,0.1734532,115643
3460,96.0,0.1738969,115972
3470,96.0,0.1742927,116311
3480,96.0,0.1746966,116651
3490,96.0,0.1751551,116995
3500,96.0,0.1755525,117322
3510,97.0,0.1759145,117660
3520,97.0,0.176273,117983
3530,97.0,0.1766413,118321
3540,97.0,0.1770284,118659
3550,99.0,0.177391,118989
3560,97.0,0.1777512,119331
3570,97.0,0.1781132,119674
3580,97.0,0.1784895,120001
3590,99.0,0.1788539,120330
3600,99.0,0.179209,120659
3610,99.0,0.1796301,120994
3620,97.0,0.1799997,121326
3630,97.0,0.1803518,121661
3640,99.0,0.1806961,122002
3650,99.0,0.181044,122347
3660,99.0,0.1814832,122694
3670,99.0,0.1818462,123014
3680,98.0,0.182236,123355
3690,99.0,0.1825824,123692
3700,99.0,0.1829465,124032
3710,99.0,0.183325,124378
3720,99.0,0.1837449,124709
3730,99.0,0.1841046,125056
3740,99.0,0.1844557,125378
3750,99.0,0.1848362,125711
3760,98.0,0.1852033,126045
3770,98.0,0.185554,126381
3780,98.0,0.185928,126709
3790,98.0,0.1863026,127047
3800,98.0,0.1868072,127382
3810,97.0,0.1871902,127721
3820,98.0,0.1876979,128054
3830,98.0,0.1880729,128404
3840,96.0,0.1884665,128737
3850,96.0,0.1888295,129063
3860,96.0,0.1892307,129404
3870,97.0,0.1896696,129725
3880,97.0,0.1900318,130061
3890,97.0,0.1904986,130405
3900,97.0,0.1908547,130732
3910,97.0,0.1913237,131063
3920,96.0,0.191693,131399
3930,96.0,0.1920681,131737
3940,96.0,0.1924619,132075
3950,96.0,0.192833,132403
3960,96.0,0.1933264,132754
3970,96.0,0.1938563,133086
3980,96.0,0.1942193,133413
3990,96.0,0.1946306,133757
4000,97.0,0.1950615,134098
4010,95.0,0.195425,134425
4020,96.0,0.1958388,134763
4030,95.0,0.1962192,135091
4040,95.0,0.1965724,135426
4050,94.0,0.1969736,135768
4060,95.0,0.1973453,136094
4070,95.0,0.197978,136441
4080,94.0,0.1983298,136785
4090,95.0,0.1987114,137109
4100,95.0,0.1991152,137436
4110,94.0,0.1995375,137775
4120,94.0,0.1999503,138121
4130,87.0,0.2016722,138451
4140,87.0,0.2020507,138774
4150,88.0,0.2024321,139104
4160,88.0,0.2029286,139440
4170,89.0,0.2033508,139772
4180,95.0,0.2037537,140108
4190,95.0,0.2042367,140450
4200,96.0,0.2046456,140785
4210,96.0,0.2051134,141110
4220,96.0,0.2054761,141440
4230,96.0,0.2059245,141775
4240,98.0,0.2063802,142118
4250,96.0,0.2067909,142449
4260,98.0,0.2071585,142790
4270,98.0,0.2075256,143132
4280,98.0,0.2078845,143464
4290,98.0,0.2083,143806
4300,98.0,0.2087685,144137
4310,97.0,0.2091774,144477
4320,96.0,0.2095975,144808
4330,96.0,0.2099772,145139
4340,96.0,0.2103744,145473
4350,95.0,0.2107707,145791
4360,95.0,0.2111222,146129
4370,96.0,0.2114867,146471
4380,96.0,0.2119991,146807
4390,95.0,0.2123662,147141
4400,96.0,0.2127422,147481
4410,97.0,0.213116,147812
4420,97.0,0.2134439,148140
4430,96.0,0.2137849,148469
4440,95.0,0.2141334,148804
4450,95.0,0.2145348,149139
4460,95.0,0.2149203,149487
4470,95.0,0.215559,149809
4480,95.0,0.2159115,150141
4490,95.0,0.2162886,150472
4500,96.0,0.2166518,150812
4510,97.0,0.21703,151148
4520,95.0,0.2174247,151486
4530,96.0,0.2179767,151827
4540,95.0,0.218346,152159
4550,95.0,0.2186967,152499
4560,95.0,0.2191242,152818
4570,95.0,0.2194933,153155
4580,95.0,0.2198872,153483
4590,95.0,0.2202902,153813
4600,95.0,0.2206598,154145
4610,95.0,0.2210132,154482
4620,95.0,0.2213875,154810
4630,95.0,0.2217437,155145
4640,95.0,0.2222235,155494
4650,88.0,0.2225854,155822
4660,93.0,0.2229511,156147
4670,84.0,0.2234387,156481
4680,86.0,0.2239315,156805
4690,86.0,0.2243623,157142
4700,85.0,0.2247308,157479
4710,86.0,0.2251094,157810
4720,86.0,0.2255736,158135
4730,84.0,0.2260672,158463
4740,84.0,0.2264928,158800
4750,84.0,0.2268621,159130
4760,86.0,0.2272519,159468
4770,85.0,0.2277472,159794
4780,85.0,0.2281502,160124
4790,84.0,0.2287915,160456
4800,84.0,0.2292514,160789
4810,90.0,0.2296489,161135
4820,90.0,0.2300758,161463
4830,90.0,0.2304641,161798
4840,90.0,0.230979,162129
4850,90.0,0.231502,162465
4860,90.0,0.2319221,162804
4870,90.0,0.2324195,163139
4880,90.0,0.2328219,163478
4890,90.0,0.233288,163821
4900,92.0,0.2337838,164139
4910,90.0,0.2341641,164463
4920,90.0,0.2345728,164807
4930,90.0,0.2349355,165138
4940,90.0,0.2353644,165470
4950,90.0,0.2357394,165804
4960,92.0,0.2361696,166143
4970,91.0,0.236551,166482
4980,91.0,0.2369686,166807
4990,90.0,0.2373514,167152
5000,91.0,0.2377489,167490
5010,92.0,0.2381551,167810
5020,92.0,0.2385943,168156
5030,93.0,0.2389611,168488
5040,92.0,0.2393535,168819
5050,92.0,0.2397215,169163
5060,92.0,0.2401539,169496
