iterations,fitness,time,fevals
0,23.0,0.0924493,1000
10,26.0,0.1777843,2100
20,31.0,0.256307,3200
30,52.0,0.3255309,4300
40,53.0,0.3875441,5400
50,57.0,0.4475936,6500
60,54.0,0.5080654,7600
70,58.0,0.5657431,8700
80,71.0,0.6194594,9800
90,58.0,0.6742484,10900
100,64.0,0.7292593,12000
110,55.0,0.7859421,13100
120,54.0,0.8390018,14200
130,57.0,0.893853,15300
140,60.0,0.9432037,16400
150,58.0,0.9948708,17500
160,58.0,1.040164,18600
170,58.0,1.1054459,19700
180,63.0,1.1543935,20800
190,56.0,1.2026858,21900
200,62.0,1.2504346,23000
210,56.0,1.2994178,24100
220,59.0,1.345778,25200
230,58.0,1.397235,26300
240,58.0,1.4448002,27400
250,60.0,1.4948056,28500
260,57.0,1.5440271,29600
270,57.0,1.5932318,30700
280,57.0,1.6419807,31800
290,57.0,1.689475,32900
300,58.0,1.7380219,34000
310,57.0,1.7874303,35100
320,61.0,1.8371687,36200
330,59.0,1.8945205,37300
340,58.0,1.9531219,38400
350,56.0,2.016083,39500
360,56.0,2.0721331,40600
370,58.0,2.125399,41700
380,57.0,2.182284,42800
390,58.0,2.2371383,43900
400,57.0,2.2931822,45000
410,57.0,2.3456333,46100
420,57.0,2.3990654,47200
430,58.0,2.4558723,48300
440,58.0,2.5093768,49400
450,59.0,2.5619005,50500
460,58.0,2.6132514,51600
470,58.0,2.6632434,52700
480,56.0,2.7128201,53800
490,59.0,2.7622256,54900
500,61.0,2.8125831,56000
510,63.0,2.8648102,57100
520,61.0,2.9178058,58200
530,60.0,2.9682576,59300
540,56.0,3.0165935,60400
550,58.0,3.0665061,61500
560,61.0,3.1142557,62600
570,58.0,3.165894,63700
580,58.0,3.2153311,64800
590,59.0,3.263504,65900
600,63.0,3.3112627,67000
610,59.0,3.3609946,68100
620,57.0,3.4117607,69200
630,61.0,3.461364,70300
640,60.0,3.5103319,71400
650,58.0,3.559502,72500
660,57.0,3.6090548,73600
670,61.0,3.6567846,74700
680,60.0,3.7068573,75800
690,57.0,3.7536685,76900
700,58.0,3.8021365,78000
710,58.0,3.8493598,79100
720,58.0,3.897598,80200
730,58.0,3.9471281,81300
740,61.0,3.9949673,82400
750,59.0,4.0446211,83500
760,59.0,4.0935228,84600
770,57.0,4.143367,85700
780,63.0,4.1968534,86800
790,59.0,4.2548573,87900
800,59.0,4.3108883,89000
810,56.0,4.3676668,90100
820,57.0,4.4318341,91200
830,58.0,4.4873547,92300
840,57.0,4.5479753,93400
850,59.0,4.6070038,94500
860,58.0,4.6627355,95600
870,57.0,4.718923,96700
880,59.0,4.7724206,97800
890,60.0,4.8226063,98900
900,57.0,4.8736391,100000
910,58.0,4.9237874,101100
920,58.0,4.9756913,102200
930,57.0,5.0270857,103300
940,57.0,5.0778296,104400
950,57.0,5.1289756,105500
960,58.0,5.1834989,106600
970,59.0,5.230968,107700
980,61.0,5.2802478,108800
990,58.0,5.3293684,109900
1000,61.0,5.3797509,111000
1010,58.0,5.4320084,112100
1020,58.0,5.4866304,113200
1030,58.0,5.5417161,114300
1040,60.0,5.5960317,115400
1050,59.0,5.6549511,116500
1060,59.0,5.713802,117600
1070,59.0,5.7681294,118700
1080,60.0,5.8203417,119800
1090,58.0,5.8725866,120900
1100,59.0,5.9226135,122000
1110,59.0,5.9734462,123100
1120,59.0,6.0259008,124200
1130,58.0,6.0763226,125300
1140,58.0,6.1257412,126400
1150,58.0,6.1750057,127500
1160,59.0,6.2254757,128600
1170,57.0,6.2746584,129700
1180,58.0,6.3272494,130800
1190,59.0,6.3781937,131900
1200,58.0,6.4396682,133000
1210,58.0,6.4979829,134100
1220,58.0,6.5536843,135200
1230,58.0,6.6080714,136300
1240,58.0,6.6631906,137400
1250,58.0,6.7172975,138500
1260,59.0,6.7718268,139600
1270,60.0,6.8245183,140700
1280,58.0,6.875741,141800
1290,62.0,6.9279545,142900
1300,64.0,6.9836439,144000
1310,59.0,7.034436,145100
1320,59.0,7.0845009,146200
1330,58.0,7.1391497,147300
1340,60.0,7.1901363,148400
1350,60.0,7.2397432,149500
1360,60.0,7.2890976,150600
1370,58.0,7.3392922,151700
1380,61.0,7.3893233,152800
1390,59.0,7.4371053,153900
1400,62.0,7.4863583,155000
1410,61.0,7.5369807,156100
1420,61.0,7.586403,157200
1430,60.0,7.6358577,158300
1440,61.0,7.6856148,159400
1450,60.0,7.7339161,160500
1460,61.0,7.7822219,161600
1470,60.0,7.8317211,162700
1480,59.0,7.8800442,163800
1490,58.0,7.9294259,164900
1500,61.0,7.9772634,166000
1510,57.0,8.0248622,167100
1520,58.0,8.0742627,168200
1530,61.0,8.1215128,169300
1540,64.0,8.1706723,170400
1550,59.0,8.2170457,171500
1560,61.0,8.2661721,172600
1570,61.0,8.3161782,173700
1580,59.0,8.3678652,174800
1590,58.0,8.4154537,175900
1600,61.0,8.4639028,177000
1610,60.0,8.5112451,178100
1620,60.0,8.5576796,179200
1630,60.0,8.6050451,180300
1640,61.0,8.6527479,181400
1650,60.0,8.7003086,182500
1660,61.0,8.7493924,183600
1670,61.0,8.7982926,184700
1680,61.0,8.8478333,185800
1690,60.0,8.8956745,186900
1700,61.0,8.9437468,188000
1710,58.0,9.0139351,189100
1720,58.0,9.0726887,190200
1730,61.0,9.1243172,191300
1740,58.0,9.1817029,192400
1750,58.0,9.2367558,193500
1760,60.0,9.298859,194600
1770,61.0,9.3535591,195700
1780,61.0,9.4119773,196800
1790,58.0,9.4701371,197900
1800,60.0,9.5271802,199000
1810,62.0,9.589767,200100
1820,61.0,9.6481104,201200
1830,61.0,9.7027757,202300
1840,60.0,9.7577446,203400
1850,60.0,9.811322,204500
1860,59.0,9.8620815,205600
