iterations,fitness,time,fevals
0,12.0,1.96999999993e-05,11
10,12.0,5.59999999972e-05,21
20,13.0,0.000106199999994,31
30,13.0,0.000145899999993,41
40,13.0,0.000180999999991,51
50,13.0,0.00022809999999,61
60,14.0,0.000266499999992,71
70,15.0,0.00030829999999,81
80,15.0,0.000349899999989,91
90,15.0,0.000394799999992,101
100,15.0,0.000428699999993,111
110,15.0,0.000463599999993,121
120,15.0,0.000502799999992,131
130,16.0,0.000546799999992,141
140,17.0,0.00057649999999,151
150,18.0,0.000606999999992,161
160,18.0,0.000640699999991,171
170,18.0,0.000685499999992,181
180,19.0,0.000725099999993,191
190,19.0,0.000766899999995,201
200,20.0,0.000812399999994,211
210,20.0,0.00084159999999,221
220,20.0,0.000883099999989,231
230,20.0,0.000922799999991,241
240,20.0,0.000961799999992,251
250,20.0,0.00102139999999,261
260,20.0,0.00106889999999,271
270,20.0,0.00111079999999,281
280,20.0,0.00117499999999,291
290,20.0,0.00121549999999,301
300,20.0,0.00125379999999,311
310,20.0,0.00128999999999,321
320,20.0,0.00132549999999,331
330,20.0,0.00136939999999,341
340,20.0,0.00140209999999,351
350,20.0,0.00144749999999,361
360,20.0,0.00148919999999,371
370,20.0,0.00152369999999,381
380,20.0,0.00156509999999,391
390,20.0,0.00160079999999,401
400,20.0,0.00163029999999,411
410,20.0,0.00166889999999,421
420,20.0,0.00171029999999,431
430,20.0,0.00174439999999,441
440,20.0,0.00177919999999,451
450,20.0,0.00182629999999,461
460,20.0,0.00186249999999,471
470,20.0,0.00190929999999,481
480,20.0,0.00195299999999,491
490,20.0,0.0020015,501
500,20.0,0.0020468,511
510,21.0,0.00208579999999,521
520,24.0,0.00213309999999,531
530,24.0,0.0021838,541
540,24.0,0.0022163,551
550,24.0,0.00224889999999,561
560,24.0,0.00230389999999,571
570,25.0,0.00233649999999,581
580,26.0,0.0023803,591
590,26.0,0.00241159999999,601
600,26.0,0.0024565,611
610,26.0,0.0024917,621
620,26.0,0.0025291,631
630,27.0,0.002569,641
640,29.0,0.002614,651
650,29.0,0.0026463,661
660,29.0,0.0026821,671
670,29.0,0.002724,681
680,29.0,0.0027537,691
690,29.0,0.002781,701
700,32.0,0.0028194,711
710,32.0,0.0028615,721
720,32.0,0.0029055,731
730,33.0,0.0029394,741
740,33.0,0.0029792,751
750,33.0,0.003031,761
760,33.0,0.0030752,771
770,33.0,0.00310630000001,781
780,33.0,0.00314540000001,791
790,33.0,0.00318580000001,801
800,33.0,0.00322760000001,811
