iterations,fitness,time,fevals
0,524.0,0.00200529999998,284
10,529.0,0.00375129999998,469
20,537.0,0.00581589999999,662
30,535.0,0.00735589999999,848
40,532.0,0.00899480000001,1032
50,530.0,0.0108616,1218
60,530.0,0.0123153,1401
70,529.0,0.0141767,1585
80,531.0,0.0158013,1778
90,534.0,0.0176325,1967
100,534.0,0.0200509,2150
110,536.0,0.0216023,2337
120,538.0,0.0229298,2522
130,540.0,0.0243146,2711
140,540.0,0.0256816,2899
150,540.0,0.0270507,3089
160,540.0,0.0295446,3277
170,539.0,0.0315368,3467
180,538.0,0.0328146,3651
190,538.0,0.0340816,3837
200,543.0,0.0355973,4028
210,544.0,0.0371621,4218
220,541.0,0.0384939,4401
230,540.0,0.0399832,4586
240,538.0,0.0419092,4771
250,542.0,0.0432910000001,4962
260,543.0,0.0451140000001,5146
270,542.0,0.0464342,5335
280,544.0,0.0481495000001,5527
290,544.0,0.0500639000001,5699
300,546.0,0.0524908000001,5891
310,548.0,0.0540126000001,6078
320,546.0,0.0554112000001,6262
330,547.0,0.0567592000001,6449
340,552.0,0.0581121000001,6635
350,548.0,0.0607032000001,6823
360,546.0,0.0625128000001,7006
370,546.0,0.0647740000001,7196
380,546.0,0.0661994,7380
390,545.0,0.0676077,7569
400,547.0,0.0690843,7748
410,546.0,0.0704893,7932
420,548.0,0.0718566,8118
430,548.0,0.0736582,8309
440,546.0,0.0750065,8494
450,545.0,0.0765484,8679
460,543.0,0.078017,8866
470,544.0,0.079633,9052
480,542.0,0.0821024,9241
490,544.0,0.084229,9426
500,543.0,0.0856216,9611
510,545.0,0.0869424,9797
520,544.0,0.0882188,9983
530,548.0,0.0896404,10164
540,544.0,0.0925724,10347
550,543.0,0.0940907,10536
560,545.0,0.0958466,10726
570,547.0,0.0980945,10908
580,543.0,0.1001629,11090
590,545.0,0.1022545,11276
600,545.0,0.1041217,11456
610,547.0,0.1064624,11637
620,543.0,0.1082697,11829
630,543.0,0.1104275,12015
640,541.0,0.1117955,12198
650,539.0,0.1134227,12385
660,539.0,0.114877,12574
670,541.0,0.1162676,12759
680,543.0,0.1179679,12949
690,543.0,0.119432,13140
700,543.0,0.1208243,13327
710,545.0,0.1222419,13519
720,545.0,0.1239525,13702
730,545.0,0.125296,13891
740,545.0,0.1283818,14076
750,547.0,0.1298095,14264
760,547.0,0.1321596,14453
770,549.0,0.1337649,14640
780,549.0,0.1351833,14821
790,547.0,0.1366556,15005
800,547.0,0.1380527,15193
810,545.0,0.1397578,15377
820,545.0,0.1411492,15561
830,547.0,0.1425524,15750
840,547.0,0.1439283,15937
850,547.0,0.1453132,16119
860,545.0,0.1466588,16304
870,545.0,0.1482639,16486
880,547.0,0.1499095,16672
890,545.0,0.1517773,16856
900,549.0,0.153244,17041
910,551.0,0.1547179,17229
920,551.0,0.1565672,17415
930,551.0,0.1599514,17598
940,551.0,0.1613628,17782
950,551.0,0.1631674,17969
960,553.0,0.1645819,18154
970,555.0,0.1660687,18336
980,555.0,0.1675931,18516
990,553.0,0.1692931,18703
1000,551.0,0.1707041,18895
1010,555.0,0.1720213,19074
1020,555.0,0.1733446,19259
1030,555.0,0.1747183,19447
1040,555.0,0.176098,19628
1050,555.0,0.1774717,19817
1060,555.0,0.1788438,20003
1070,555.0,0.1811204,20186
1080,553.0,0.1832742,20372
1090,553.0,0.1847611,20557
1100,553.0,0.1861512,20744
1110,553.0,0.1876691,20928
1120,553.0,0.1901304,21117
1130,553.0,0.1915098,21301
1140,553.0,0.192792,21482
1150,553.0,0.1941748,21670
1160,553.0,0.1960743,21857
1170,553.0,0.1983417,22042
1180,553.0,0.1997216,22229
1190,557.0,0.2013945,22410
1200,555.0,0.2027668,22594
1210,555.0,0.2040998,22782
