iterations,fitness,time,fevals
0,550.0,11.1140694,1000
10,568.0,22.2792113,2100
20,593.0,31.8982674,3200
30,625.0,42.4571518,4300
40,628.0,52.8943973,5400
50,648.0,63.4833997,6500
60,666.0,74.6148065,7600
70,702.0,83.8260609,8700
80,714.0,93.118769,9800
90,714.0,102.5235308,10900
100,724.0,111.4514239,12000
110,732.0,119.3607328,13100
120,740.0,127.1639123,14200
130,746.0,135.4436597,15300
140,756.0,143.1785507,16400
150,756.0,150.8446075,17500
160,756.0,158.5692093,18600
170,766.0,166.8020112,19700
180,786.0,175.6578188,20800
190,774.0,184.5163711,21900
200,774.0,193.10354,23000
210,772.0,200.8526967,24100
220,784.0,209.7056497,25200
230,772.0,218.6494531,26300
240,765.0,227.6009519,27400
250,768.0,236.5834459,28500
260,780.0,244.9641225,29600
270,766.0,253.0302499,30700
280,776.0,260.3742312,31800
290,770.0,267.8106985,32900
300,778.0,275.2433617,34000
310,776.0,282.5717814,35100
320,782.0,290.6014061,36200
330,784.0,299.5963773,37300
340,795.0,307.7990197,38400
350,784.0,316.3724173,39500
360,790.0,324.081084,40600
370,784.0,333.9256717,41700
380,788.0,343.5567206,42800
390,786.0,353.8608512,43900
400,788.0,362.8351523,45000
410,784.0,372.0202266,46100
420,788.0,380.1767046,47200
430,798.0,387.9673209,48300
440,792.0,396.648821,49400
450,794.0,404.9708931,50500
460,792.0,412.2403968,51600
470,784.0,420.9394385,52700
480,794.0,429.3195294,53800
490,800.0,436.7363747,54900
500,790.0,445.2208849,56000
510,794.0,453.3410915,57100
520,790.0,461.1416667,58200
530,798.0,468.6394241,59300
540,788.0,476.0584691,60400
550,794.0,484.2384064,61500
560,800.0,493.4565547,62600
570,782.0,501.4863227,63700
580,796.0,510.0042297,64800
590,802.0,518.2834512,65900
600,780.0,527.2317235,67000
610,784.0,535.1176575,68100
620,790.0,543.6421881,69200
630,786.0,551.7447089,70300
640,792.0,559.9910951,71400
650,792.0,568.2993944,72500
