iterations,fitness,time,fevals
0,481.0,7.35000000001e-05,11
10,487.0,0.0001589,21
20,491.0,0.0002732,31
30,495.0,0.000411699999999,41
40,495.0,0.000509799999999,51
50,497.0,0.000605499999999,61
60,499.0,0.000734699999999,71
70,503.0,0.000855999999999,81
80,503.0,0.000952599999999,91
90,503.0,0.0010495,101
100,503.0,0.0011473,111
110,505.0,0.0012411,121
120,505.0,0.0013269,131
130,507.0,0.0014038,141
140,513.0,0.0015096,151
150,515.0,0.0016075,161
160,519.0,0.0017162,171
170,521.0,0.0018088,181
180,527.0,0.0019072,191
190,529.0,0.0020313,201
200,529.0,0.0021455,211
210,533.0,0.0022479,221
220,535.0,0.0023637,231
230,535.0,0.0024574,241
240,539.0,0.0025712,251
250,539.0,0.0026597,261
260,541.0,0.0027931,271
270,541.0,0.0029072,281
280,545.0,0.0030376,291
290,549.0,0.0031894,301
300,551.0,0.0032928,311
310,553.0,0.0034643,321
320,555.0,0.003595,331
330,555.0,0.0037234,341
340,557.0,0.0038386,351
350,559.0,0.0039382,361
360,561.0,0.0040353,371
370,561.0,0.0041441,381
380,567.0,0.0042453,391
390,567.0,0.0043248,401
400,569.0,0.0044465,411
410,569.0,0.0045631,421
420,575.0,0.0047013,431
430,577.0,0.0048208,441
440,577.0,0.0049522,451
450,579.0,0.0050552,461
460,579.0,0.0051614,471
470,583.0,0.0052727,481
480,583.0,0.005375,491
490,585.0,0.0054867,501
500,585.0,0.0055913,511
510,589.0,0.0056934,521
520,589.0,0.0057892,531
530,589.0,0.0058893,541
540,591.0,0.0059719,551
550,595.0,0.0061069,561
560,595.0,0.006239,571
570,603.0,0.0063694,581
580,605.0,0.0064634,591
590,609.0,0.0065756,601
600,611.0,0.0067117,611
610,611.0,0.0068066,621
620,615.0,0.0068966,631
630,615.0,0.0069878,641
640,617.0,0.0070914,651
650,617.0,0.0072241,661
660,619.0,0.0073273,671
670,623.0,0.0074238,681
680,623.0,0.0075152,691
690,623.0,0.007614,701
700,627.0,0.0077193,711
710,627.0,0.0078177,721
720,633.0,0.0079138,731
730,639.0,0.0080181,741
740,641.0,0.0081119,751
750,645.0,0.0082231,761
760,649.0,0.0083276,771
770,649.0,0.0084551,781
780,653.0,0.0085902,791
790,655.0,0.0086724,801
800,655.0,0.0087622,811
810,655.0,0.008889,821
820,655.0,0.0089758,831
830,657.0,0.0090731,841
840,659.0,0.0091593,851
850,661.0,0.0092556,861
860,663.0,0.0093574,871
870,665.0,0.0094456,881
880,667.0,0.0095325,891
890,669.0,0.0096175,901
900,669.0,0.0096999,911
910,669.0,0.0097947,921
920,671.0,0.0098854,931
930,671.0,0.0099612,941
940,671.0,0.0100675,951
950,671.0,0.0101577,961
960,673.0,0.0102431,971
970,673.0,0.0103677,981
980,675.0,0.01048,991
990,675.0,0.0105686,1001
1000,675.0,0.0106711,1011
1010,677.0,0.0107568,1021
1020,679.0,0.0108409,1031
1030,679.0,0.0109328,1041
1040,679.0,0.0110233,1051
1050,679.0,0.0111055,1061
1060,681.0,0.0111893,1071
1070,681.0,0.0113231,1081
1080,683.0,0.0114165,1091
1090,683.0,0.0115325,1101
1100,685.0,0.0116252,1111
1110,685.0,0.0117275,1121
1120,685.0,0.0118464,1131
1130,687.0,0.0119353,1141
1140,687.0,0.0120387,1151
1150,687.0,0.0121448,1161
1160,691.0,0.0122407,1171
1170,691.0,0.0123183,1181
1180,691.0,0.0124278,1191
1190,693.0,0.0125121,1201
1200,693.0,0.0126043,1211
1210,695.0,0.0126875,1221
1220,697.0,0.0127634,1231
1230,699.0,0.0128616,1241
1240,701.0,0.0129561,1251
1250,701.0,0.0130332,1261
1260,701.0,0.0131217,1271
1270,701.0,0.0132079,1281
1280,701.0,0.013307,1291
1290,703.0,0.0134101,1301
1300,705.0,0.0134948,1311
1310,705.0,0.0135703,1321
1320,707.0,0.0136734,1331
1330,709.0,0.0137636,1341
1340,709.0,0.013844,1351
1350,711.0,0.0139553,1361
1360,711.0,0.0140478,1371
1370,713.0,0.0141273,1381
1380,713.0,0.0142434,1391
1390,713.0,0.01433,1401
1400,715.0,0.014411,1411
1410,715.0,0.0145049,1421
1420,715.0,0.0145839,1431
1430,717.0,0.0147337,1441
1440,717.0,0.0148307,1451
1450,719.0,0.0149147,1461
1460,719.0,0.0150018,1471
1470,719.0,0.0150972,1481
1480,719.0,0.0151901,1491
1490,719.0,0.0153113,1501
1500,719.0,0.0154403,1511
1510,719.0,0.0155272,1521
1520,719.0,0.0156164,1531
1530,719.0,0.0157271,1541
1540,719.0,0.0158128,1551
1550,721.0,0.0158965,1561
1560,723.0,0.0159811,1571
1570,723.0,0.0160566,1581
1580,723.0,0.0161395,1591
1590,723.0,0.0162565,1601
1600,723.0,0.0163452,1611
1610,723.0,0.0164474,1621
1620,723.0,0.0165333,1631
1630,723.0,0.0166151,1641
1640,723.0,0.0166944,1651
1650,723.0,0.0167875,1661
1660,723.0,0.0168758,1671
1670,725.0,0.0169699,1681
1680,725.0,0.0170694,1691
1690,727.0,0.0171506,1701
1700,727.0,0.0172595,1711
1710,727.0,0.0173505,1721
1720,727.0,0.0174408,1731
1730,727.0,0.0175248,1741
1740,727.0,0.0176141,1751
1750,727.0,0.0177129,1761
1760,727.0,0.0178012,1771
1770,727.0,0.0178818,1781
1780,727.0,0.0179712,1791
1790,727.0,0.0180607,1801
1800,727.0,0.0181571,1811
1810,727.0,0.0182514,1821
1820,727.0,0.0183345,1831
1830,727.0,0.0184168,1841
1840,729.0,0.0185012,1851
1850,729.0,0.0186119,1861
1860,729.0,0.018771,1871
1870,733.0,0.0188865,1881
1880,733.0,0.0190377,1891
1890,733.0,0.0191262,1901
1900,733.0,0.019222,1911
1910,733.0,0.0193009,1921
1920,733.0,0.0193881,1931
1930,735.0,0.0194721,1941
1940,735.0,0.0195538,1951
1950,737.0,0.0197087,1961
1960,737.0,0.0198262,1971
1970,737.0,0.0199127,1981
1980,737.0,0.0200217,1991
1990,737.0,0.0201292,2001
2000,737.0,0.0202189,2011
2010,737.0,0.0203162,2021
2020,739.0,0.0203979,2031
2030,741.0,0.0204895,2041
2040,741.0,0.0205704,2051
2050,741.0,0.0206895,2061
2060,745.0,0.0207801,2071
2070,745.0,0.0208722,2081
2080,745.0,0.0209486,2091
2090,747.0,0.0210769,2101
2100,747.0,0.0211746,2111
2110,747.0,0.021306,2121
2120,747.0,0.0214022,2131
2130,747.0,0.0214904,2141
2140,747.0,0.0215704,2151
2150,747.0,0.0216895,2161
2160,747.0,0.0217825,2171
2170,747.0,0.0218918,2181
2180,747.0,0.0219869,2191
2190,747.0,0.0220777,2201
2200,747.0,0.0222025,2211
2210,747.0,0.0223037,2221
2220,747.0,0.0224338,2231
2230,747.0,0.0225359,2241
2240,747.0,0.0226144,2251
2250,747.0,0.022701,2261
2260,747.0,0.0227913,2271
2270,749.0,0.0228925,2281
2280,749.0,0.0229963,2291
2290,749.0,0.023089,2301
2300,749.0,0.0231753,2311
2310,749.0,0.0234929,2321
2320,749.0,0.0235927,2331
2330,751.0,0.0237052,2341
2340,751.0,0.0237961,2351
2350,751.0,0.0239,2361
2360,751.0,0.0239977,2371
2370,753.0,0.0240985,2381
2380,755.0,0.0242319,2391
2390,755.0,0.0243416,2401
2400,757.0,0.0244343,2411
2410,759.0,0.0245268,2421
2420,761.0,0.0246291,2431
2430,763.0,0.0247482,2441
2440,763.0,0.0248391,2451
2450,765.0,0.0249272,2461
2460,769.0,0.0250148,2471
2470,769.0,0.0251033,2481
2480,769.0,0.0252097,2491
2490,771.0,0.0253265,2501
2500,771.0,0.0254163,2511
2510,771.0,0.0255185,2521
2520,771.0,0.0256115,2531
2530,771.0,0.0257696,2541
2540,771.0,0.0258782,2551
2550,771.0,0.0259826,2561
2560,771.0,0.0260973,2571
2570,771.0,0.0261756,2581
2580,771.0,0.0262596,2591
2590,771.0,0.0263452,2601
2600,771.0,0.0264531,2611
2610,771.0,0.0265559,2621
2620,773.0,0.0266745,2631
2630,773.0,0.0267662,2641
2640,773.0,0.0268773,2651
2650,773.0,0.0269681,2661
2660,773.0,0.0270604,2671
2670,773.0,0.0271959,2681
2680,773.0,0.0272859,2691
2690,773.0,0.027397,2701
2700,773.0,0.0274878,2711
2710,773.0,0.0278734,2721
2720,773.0,0.0279817,2731
2730,773.0,0.0280883,2741
2740,773.0,0.0282704,2751
2750,773.0,0.0283662,2761
2760,773.0,0.0284489,2771
2770,773.0,0.0285553,2781
2780,773.0,0.028643,2791
2790,773.0,0.0287813,2801
2800,773.0,0.0288708,2811
2810,773.0,0.02897,2821
2820,773.0,0.0290749,2831
2830,773.0,0.0291761,2841
2840,773.0,0.0292642,2851
2850,773.0,0.0293464,2861
2860,773.0,0.0294441,2871
2870,773.0,0.0295501,2881
2880,773.0,0.0296327,2891
2890,773.0,0.0297326,2901
2900,773.0,0.0298252,2911
2910,773.0,0.0299574,2921
2920,773.0,0.0300465,2931
2930,773.0,0.030148,2941
2940,773.0,0.0303198,2951
2950,773.0,0.0304297,2961
2960,775.0,0.0305359,2971
2970,777.0,0.0306245,2981
2980,777.0,0.030734,2991
2990,777.0,0.0308219,3001
3000,777.0,0.0309482,3011
3010,777.0,0.0310679,3021
3020,777.0,0.0311614,3031
3030,777.0,0.03125,3041
3040,777.0,0.0313354,3051
3050,777.0,0.031494,3061
3060,777.0,0.0315946,3071
3070,779.0,0.0317032,3081
3080,779.0,0.0318281,3091
3090,779.0,0.0319199,3101
3100,779.0,0.0320217,3111
3110,781.0,0.0321458,3121
3120,783.0,0.0322426,3131
3130,783.0,0.0323316,3141
3140,785.0,0.0324259,3151
3150,787.0,0.0325147,3161
3160,789.0,0.032632,3171
3170,789.0,0.0327215,3181
3180,789.0,0.0328355,3191
3190,789.0,0.0329251,3201
3200,789.0,0.033056,3211
3210,789.0,0.0331533,3221
3220,789.0,0.0332671,3231
3230,789.0,0.0333578,3241
3240,789.0,0.0335007,3251
3250,789.0,0.0336052,3261
3260,789.0,0.0337727,3271
3270,789.0,0.0339412,3281
3280,789.0,0.0341717,3291
3290,791.0,0.0342827,3301
3300,791.0,0.0343808,3311
3310,791.0,0.0344686,3321
3320,791.0,0.0345914,3331
3330,791.0,0.034679,3341
3340,791.0,0.0347717,3351
3350,791.0,0.0348861,3361
3360,791.0,0.0349768,3371
3370,793.0,0.0350682,3381
3380,793.0,0.0351498,3391
3390,793.0,0.0352425,3401
3400,793.0,0.035358,3411
3410,793.0,0.0354494,3421
3420,793.0,0.0355478,3431
3430,793.0,0.0356292,3441
3440,793.0,0.0357157,3451
3450,793.0,0.0358013,3461
3460,793.0,0.0358902,3471
3470,793.0,0.0359891,3481
3480,793.0,0.0360845,3491
3490,793.0,0.0361663,3501
3500,793.0,0.0362627,3511
3510,793.0,0.0364311,3521
3520,793.0,0.0365548,3531
3530,793.0,0.0366652,3541
3540,793.0,0.0367517,3551
3550,793.0,0.0368398,3561
3560,793.0,0.0369704,3571
3570,793.0,0.0370693,3581
3580,793.0,0.0371745,3591
3590,793.0,0.0372496,3601
3600,793.0,0.0373387,3611
3610,793.0,0.0374197,3621
3620,793.0,0.0375285,3631
3630,793.0,0.0376423,3641
3640,793.0,0.0377252,3651
3650,793.0,0.0378427,3661
3660,793.0,0.0380584,3671
3670,793.0,0.0381407,3681
3680,793.0,0.0384931,3691
3690,793.0,0.0385823,3701
3700,793.0,0.038659,3711
3710,793.0,0.0387553,3721
3720,793.0,0.0388595,3731
3730,793.0,0.0389675,3741
3740,793.0,0.0390551,3751
3750,793.0,0.0391405,3761
3760,793.0,0.0392275,3771
3770,793.0,0.0393162,3781
3780,793.0,0.0394265,3791
3790,793.0,0.0395214,3801
3800,793.0,0.0396227,3811
3810,793.0,0.039721,3821
3820,793.0,0.0398081,3831
3830,793.0,0.0398988,3841
3840,793.0,0.0399782,3851
3850,793.0,0.0400647,3861
3860,793.0,0.0401794,3871
3870,793.0,0.0402945,3881
3880,793.0,0.0403805,3891
3890,793.0,0.0404923,3901
3900,793.0,0.0405986,3911
3910,793.0,0.0407036,3921
3920,795.0,0.0408091,3931
3930,795.0,0.0409009,3941
3940,795.0,0.0410424,3951
3950,795.0,0.041129,3961
3960,795.0,0.0412304,3971
3970,795.0,0.041324,3981
3980,795.0,0.0414075,3991
3990,797.0,0.0415281,4001
4000,797.0,0.0416189,4011
4010,797.0,0.0417316,4021
4020,799.0,0.0418176,4031
4030,799.0,0.0419398,4041
4040,799.0,0.0420286,4051
4050,801.0,0.0421142,4061
4060,801.0,0.0422009,4071
4070,801.0,0.042278,4081
4080,801.0,0.0423578,4091
4090,801.0,0.0424502,4101
4100,801.0,0.0425547,4111
4110,803.0,0.0426408,4121
4120,805.0,0.0427534,4131
4130,805.0,0.0428394,4141
4140,805.0,0.0429506,4151
4150,805.0,0.0430778,4161
4160,805.0,0.0431579,4171
4170,805.0,0.0432687,4181
4180,805.0,0.0433594,4191
4190,805.0,0.0434481,4201
4200,805.0,0.0435689,4211
4210,807.0,0.0436592,4221
4220,807.0,0.0437827,4231
4230,807.0,0.0438722,4241
4240,807.0,0.0439783,4251
4250,807.0,0.0440723,4261
4260,807.0,0.0441538,4271
4270,807.0,0.0442426,4281
4280,807.0,0.0443417,4291
4290,807.0,0.0444273,4301
4300,807.0,0.0445182,4311
4310,807.0,0.0446157,4321
4320,807.0,0.0447002,4331
4330,809.0,0.0447939,4341
4340,809.0,0.0448986,4351
4350,809.0,0.044981,4361
4360,809.0,0.0451231,4371
4370,809.0,0.0452199,4381
4380,809.0,0.0453111,4391
4390,809.0,0.0453991,4401
4400,809.0,0.0454821,4411
4410,811.0,0.0456027,4421
4420,811.0,0.0457118,4431
4430,811.0,0.0458163,4441
4440,811.0,0.0459066,4451
4450,811.0,0.0460314,4461
4460,811.0,0.0461282,4471
4470,811.0,0.0462206,4481
4480,811.0,0.0463122,4491
4490,811.0,0.0464006,4501
4500,811.0,0.046485,4511
4510,811.0,0.046586,4521
4520,813.0,0.0466718,4531
4530,813.0,0.0467665,4541
4540,813.0,0.0468552,4551
4550,813.0,0.0469552,4561
4560,813.0,0.0470611,4571
4570,813.0,0.0471719,4581
4580,813.0,0.047256,4591
4590,813.0,0.0473675,4601
4600,813.0,0.0474456,4611
4610,815.0,0.047555,4621
4620,815.0,0.0476549,4631
4630,815.0,0.0477334,4641
4640,815.0,0.0478365,4651
4650,815.0,0.0479252,4661
4660,815.0,0.0480063,4671
4670,817.0,0.0480912,4681
4680,817.0,0.0481812,4691
4690,817.0,0.0482568,4701
4700,817.0,0.0483448,4711
4710,817.0,0.0484663,4721
4720,817.0,0.0564933,4731
4730,817.0,0.0565388,4741
4740,817.0,0.0565872,4751
4750,817.0,0.0566309,4761
4760,817.0,0.0566827,4771
4770,817.0,0.0567337,4781
4780,817.0,0.0567919,4791
4790,817.0,0.0568506,4801
4800,817.0,0.0568928,4811
4810,817.0,0.0569639,4821
4820,817.0,0.0570281,4831
4830,817.0,0.057081,4841
4840,817.0,0.0571299,4851
4850,817.0,0.0571797,4861
4860,817.0,0.0572518,4871
4870,817.0,0.0573016,4881
4880,817.0,0.0573871,4891
4890,817.0,0.0574472,4901
4900,819.0,0.0575002,4911
4910,819.0,0.0575693,4921
4920,819.0,0.0576131,4931
4930,819.0,0.0576737,4941
4940,819.0,0.0577238,4951
4950,819.0,0.0577694,4961
4960,819.0,0.05782,4971
4970,819.0,0.0578806,4981
4980,819.0,0.0579493,4991
4990,819.0,0.0579997,5001
5000,819.0,0.0580608,5011
