iterations,fitness,time,fevals
0,0.024467735257,1.9673554,1000
10,0.0238487083457,3.6970036,2100
20,0.02459962311,5.34357580001,3200
30,0.0254078401865,6.996411,4300
40,0.0260985601946,8.6484693,5400
50,0.0256243247739,10.2955732,6500
60,0.0237338127044,11.9913724,7600
70,0.025376736013,13.6721815,8700
80,0.0240044830493,15.3457071,9800
90,0.0243022095342,17.0343132,10900
100,0.0247613617954,18.7188137,12000
110,0.0232169184528,20.419494,13100
120,0.024306280594,22.1014167,14200
130,0.0253978253997,23.7779853,15300
140,0.0244441515047,25.4405646,16400
150,0.026157720642,27.1342766,17500
160,0.0247360906591,28.7879702,18600
170,0.0247365901892,30.7554114,19700
180,0.0243419443215,32.6256711,20800
190,0.0244710215164,34.3122427,21900
200,0.0246386851702,35.9456791,23000
210,0.0245214117255,37.5462818,24100
220,0.0247216194091,39.2258293,25200
230,0.0244870581925,40.9210862,26300
240,0.0248626799571,42.5758549,27400
250,0.0239961161236,44.2308176,28500
260,0.0241499532951,45.9825282,29600
270,0.0244886700664,47.6089239,30700
280,0.0246575518703,49.2356888,31800
290,0.0246025025681,50.8539698,32900
300,0.0250869207228,52.4651775,34000
310,0.0242938928339,54.0899374,35100
320,0.0237953872638,55.7284189,36200
330,0.0261070436509,57.3577084,37300
340,0.0238930073669,58.9871668,38400
350,0.0238462333355,60.6152695,39500
360,0.0252731804537,62.2555884,40600
370,0.0242610433415,63.884464,41700
380,0.0249654551245,65.5091317,42800
390,0.024174152049,67.1337109,43900
400,0.026334889853,68.7722525,45000
410,0.0238941705863,70.4415063,46100
420,0.0256560067994,72.1079882,47200
430,0.0238365338822,73.766476,48300
440,0.0243308872646,75.4275043,49400
450,0.0245781065202,77.1008121,50500
460,0.0248661617131,78.7714376,51600
470,0.024381998527,80.4418192,52700
480,0.0252080424182,82.1021534,53800
490,0.0258217722199,83.7576746,54900
500,0.0241725759179,85.4267341,56000
510,0.0241365441597,87.1795236,57100
520,0.0244838037128,88.8257511,58200
530,0.0239819328952,90.4619736,59300
540,0.0244454605527,92.1132568,60400
550,0.0246035345963,93.7764661,61500
560,0.024724192672,95.4303564,62600
570,0.0254810024339,97.0830782,63700
580,0.0249810353333,98.7316767,64800
590,0.0250411543373,100.3978078,65900
600,0.0258190485597,102.0518644,67000
610,0.0241376874737,103.7132639,68100
620,0.0244654667345,105.3824707,69200
630,0.0252536170283,107.0412229,70300
640,0.0255280827971,108.7140363,71400
650,0.0247528616252,110.3681669,72500
660,0.0248574372547,112.0178282,73600
670,0.0248760334806,113.6628854,74700
680,0.024751418146,115.3255617,75800
690,0.0248713913447,116.9971233,76900
700,0.024865527813,118.6604201,78000
710,0.0242037534849,120.3199917,79100
720,0.0245265029018,121.9781536,80200
730,0.0244208754282,123.6789703,81300
740,0.0241881627736,125.3652635,82400
750,0.025053515871,127.0209262,83500
760,0.0237516380971,128.6692792,84600
770,0.0261012389728,130.3213137,85700
780,0.0256629372905,132.0066513,86800
790,0.024319583221,133.6868494,87900
800,0.0251365501484,135.3739361,89000
810,0.0248745138087,137.0547596,90100
820,0.0259145595272,138.7475054,91200
830,0.0247791864603,140.4268653,92300
840,0.0244932914923,142.1045796,93400
850,0.0246446813006,143.7632179,94500
860,0.0240413177795,145.4138943,95600
870,0.0250068655727,147.0640033,96700
880,0.0245068793415,148.8154994,97800
890,0.0260914425974,150.8188221,98900
900,0.0250185704677,152.5198762,100000
910,0.0255624513831,154.1419059,101100
920,0.0243192459623,155.7847088,102200
930,0.0246270078981,157.4402892,103300
940,0.0244484261642,159.0968706,104400
950,0.0251615156976,160.7553521,105500
960,0.024332759462,162.4138159,106600
970,0.0255948025613,164.0866508,107700
980,0.0241186176651,165.7394305,108800
990,0.0253833606531,167.4218456,109900
1000,0.0242976561855,169.0814124,111000
1010,0.0258784452268,170.734891,112100
1020,0.0261385829725,172.3808624,113200
1030,0.0239026467836,174.0306969,114300
1040,0.0247920098556,175.7591331,115400
1050,0.0241712566097,177.4292824,116500
1060,0.0250942776234,179.0904022,117600
1070,0.0238375348214,180.7555544,118700
1080,0.0243390269087,182.5363531,119800
1090,0.0238759856473,184.3014779,120900
1100,0.0238721342717,185.931923,122000
1110,0.0256944305872,187.5831188,123100
1120,0.0257163935353,189.2337751,124200
1130,0.0251883744385,190.895461,125300
1140,0.0238551246278,192.5651121,126400
1150,0.0244414425749,194.2162761,127500
1160,0.0236546299385,195.8684025,128600
1170,0.0253249892339,197.5274116,129700
1180,0.0237497989607,199.1998766,130800
1190,0.023975936837,200.855604,131900
1200,0.0234355194101,202.5053104,133000
1210,0.0243318526821,204.1536744,134100
1220,0.0248869766865,205.8177503,135200
1230,0.0252325855167,207.6420151,136300
1240,0.0256810523367,209.4889135,137400
1250,0.024272635677,211.3497574,138500
1260,0.0245710083736,213.0080131,139600
1270,0.0251247143525,214.6499369,140700
1280,0.02543246216,216.3097228,141800
1290,0.0242698367119,217.965884,142900
1300,0.025590713115,219.616802,144000
1310,0.0247178254602,221.3054542,145100
1320,0.0256314988467,222.9800208,146200
1330,0.024668567578,224.6433239,147300
1340,0.0242722659038,226.3048827,148400
1350,0.024208815274,227.9747429,149500
1360,0.0242960885474,229.630796,150600
1370,0.0253412675414,231.4149989,151700
1380,0.0248953736262,233.2087546,152800
1390,0.0243794468957,235.0075461,153900
1400,0.0247702455187,236.7270375,155000
1410,0.0236189295637,238.5864254,156100
1420,0.0239132965462,240.2864771,157200
1430,0.025045667362,242.0496067,158300
