k,GMM,Kmeans
2,0.5691390234811778,0.5691390234811778
3,0.5691390234811778,0.5691390234811778
4,0.5691390234811778,0.5691390234811778
5,0.5691390234811778,0.5691390234811778
6,0.5691390234811778,0.5691390234811778
7,0.5691390234811778,0.5691390234811778
8,0.5691390234811778,0.5691390234811778
9,0.5691390234811778,0.5698844576966082
10,0.5691390234811778,0.5702571748043235
15,0.5769660827431979,0.5803205367126351
20,0.581811405143496,0.5874021617592248
25,0.5844204248975028,0.5870294446515095
30,0.6067834513604174,0.6257920238538949
35,0.5970928065598211,0.6246738725307491
40,0.5989563920983973,0.621319418561312
