k,GMM,Kmeans
2,0.00029674670363731684,0.00029674670363731684
3,0.000908085716392854,0.0005140644672868988
4,0.0002360914131540889,0.0005616991549415488
5,0.0003494618134990627,0.0006498811420545035
6,0.0004245148731745224,0.0007258242670562184
7,0.0006670360729065133,0.0007964437809814541
8,0.00041294390665840605,0.0016977122909728776
9,0.002066922177946513,0.0007499332617509089
10,0.0019801487463990894,0.0010072403544094932
15,0.0018535017484519604,0.010307914134408519
20,0.0021575099959321936,0.007175726363523623
25,0.0037605499054986446,0.006753367713088988
30,0.006801775941282932,0.011537862612144283
35,0.004206782825822129,0.011183573815920767
40,0.004051084441023957,0.009639282879527823
