,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.486399221,0.011740692,0.004398727,0.001959426,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
1,0.63380022,0.072826251,0.010001183,0.006227618,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
2,0.682600641,0.039139892,0.00579896,0.003762558,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
3,0.668201303,0.023625224,0.00439992,0.001744445,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
4,0.705200243,0.02813077,0.004399967,0.001854168,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
5,0.753600407,0.078703863,0.01120038,0.006493756,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
6,0.830001688,0.055677831,0.004799414,0.001326805,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
7,0.819799089,0.038793727,0.005600023,0.001742875,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
8,0.911800289,0.031701518,0.006399393,0.001855675,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
9,1.109200811,0.053626796,0.004400778,0.001020797,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
10,1.256200886,0.024677567,0.006799984,0.001937825,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
11,1.613401842,0.099328847,0.009399366,0.004317642,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
12,2.111599445,0.199015562,0.007801199,0.00039847,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
13,2.483599043,0.08959563,0.009801483,0.00132631,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
14,2.563400555,0.133024227,0.010600138,0.005816455,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
15,0.505400276,0.024540565,0.004798698,0.001469393,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
16,0.699399137,0.055422722,0.004399586,0.000489746,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
17,0.754401302,0.055652164,0.005799198,0.00411841,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
18,0.778400946,0.053260163,0.008199549,0.005115073,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
19,0.833999777,0.040758453,0.0041996,0.001469179,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
20,0.954801512,0.024276887,0.005799246,0.000748507,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
21,1.101400089,0.043563787,0.005798674,0.001166155,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.5,0.541868262,0.496132283,0.5,0.5,0.507607216,0.01720379,1,0.5,0.519033579,0.500056177,0.5,0.5,0.503817951,0.007607845
22,1.039400625,0.102348725,0.006599379,0.001020235,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
23,1.100600195,0.039184911,0.00820055,0.002314943,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
24,1.346000528,0.039562924,0.006999779,0.003032176,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
25,1.618800497,0.056622473,0.007599878,0.004318293,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
