k,type,score,label
2,Kmeans,0.133098,1
2,Kmeans,0.017742,0
2,Kmeans,0.013682,0
2,Kmeans,0.116822,1
2,Kmeans,0.045583,0
2,Kmeans,0.128462,1
2,Kmeans,0.109435,1
2,Kmeans,0.098883,1
2,Kmeans,0.043215,0
2,Kmeans,0.049647,0
2,Kmeans,0.163813,1
2,Kmeans,0.12817,1
2,Kmeans,0.055567,0
2,Kmeans,0.030438,0
2,Kmeans,0.042361,0
2,Kmeans,0.033492,0
2,Kmeans,0.055887,0
2,Kmeans,0.043466,0
2,Kmeans,0.104348,1
2,Kmeans,0.107058,1
2,Kmeans,0.116323,1
2,Kmeans,0.098877,1
2,Kmeans,0.015603,0
2,Kmeans,0.099017,1
2,Kmeans,0.04374,0
2,Kmeans,0.096837,1
2,Kmeans,0.130628,1
2,Kmeans,0.040746,0
2,Kmeans,0.137359,1
2,Kmeans,0.060383,0
2,Kmeans,0.056578,0
2,Kmeans,0.072139,0
2,Kmeans,0.171106,1
2,Kmeans,0.158569,1
2,Kmeans,0.017065,0
2,Kmeans,0.077887,1
2,Kmeans,0.117671,1
2,Kmeans,0.077821,1
2,Kmeans,0.071247,1
2,Kmeans,0.081406,1
2,Kmeans,0.062548,0
2,Kmeans,0.118165,1
2,Kmeans,0.137221,1
2,Kmeans,0.061854,0
2,Kmeans,0.173996,1
2,Kmeans,0.048825,0
2,Kmeans,0.02252,0
2,Kmeans,0.044261,0
2,Kmeans,0.084478,1
2,Kmeans,0.05779,0
2,Kmeans,0.189746,1
2,Kmeans,0.061411,1
2,Kmeans,0.082256,0
2,Kmeans,0.103385,1
2,Kmeans,0.147522,1
2,Kmeans,0.029515,0
2,Kmeans,0.031323,0
2,Kmeans,0.003914,0
2,Kmeans,0.141111,1
2,Kmeans,0.076944,1
2,Kmeans,0.038162,0
2,Kmeans,0.049603,0
2,Kmeans,0.008073,0
2,Kmeans,0.088146,1
2,Kmeans,0.054477,0
2,Kmeans,0.059034,0
2,Kmeans,0.065881,0
2,Kmeans,-0.000741,0
2,Kmeans,0.097865,1
2,Kmeans,0.122286,1
2,Kmeans,0.064186,1
2,Kmeans,0.147645,1
2,Kmeans,0.095017,1
2,Kmeans,0.105968,1
2,Kmeans,0.157875,1
