k,GMM,Kmeans
2,0.07547943149747936,0.07547943149747936
3,0.08475068327990078,0.07724003166507692
4,0.06299601277137878,0.08266376085469546
5,0.0823633281962073,0.08453684039349492
6,0.054669913926981124,0.09845907412535526
7,0.07037052078945465,0.0995074816111339
8,0.0807596890678143,0.0927683184644782
9,0.07320335456792498,0.0852846230909586
10,0.07929165545879391,0.08322573011956554
15,0.07713339684031699,0.08588316631951247
20,0.07261802272372238,0.09021984920946256
25,0.080861444346916,0.09061126471044213
30,0.08331579175290832,0.10040693038573399
35,0.08242421714607694,0.11060559455050467
40,0.09386214400147112,0.10230108004311081
