k,GMM,Kmeans
2,0.5355070325563096,0.7347300088521688
3,0.7494344447723026,0.7460411134061178
4,0.7456968623979542,0.7347300088521688
5,0.7525818825612275,0.7069440346218157
6,0.748893478902331,0.741762565161798
7,0.7456476836825022,0.7463853644142815
8,0.7397462378282679,0.7476640110160323
9,0.7272056653880201,0.7355168682994
10,0.7271073079571162,0.7414674928690863
15,0.7454509688206944,0.7501229467886299
20,0.7523359889839677,0.7385659486574211
25,0.7484508704632635,0.7559752139274122
30,0.7598111537326645,0.7569096095209993
35,0.7578931838300383,0.7562702862201239
40,0.7587784007081735,0.7563686436510278
