k,GMM,Kmeans
2,0.0059659182146658205,0.16466203860461948
3,0.15972372258827452,0.1279111635605085
4,0.10979695485756087,0.10137485121781664
5,0.10152011229713752,0.09707105087892193
6,0.0986611579045707,0.09045260399883384
7,0.09706996102545327,0.08829121166990377
8,0.09990643931469312,0.08883952320258857
9,0.09855157541020873,0.08186678526267092
10,0.09838181596451137,0.08282104630815258
15,0.0824476244448205,0.07723878445511932
20,0.07656091590691122,0.06907670242540896
25,0.07249043893261388,0.06897051717815694
30,0.06831390926292244,0.06537161735768385
35,0.06571945646912206,0.06342707380830949
40,0.0630052655760848,0.06059989540190866
