k,GMM,Kmeans
2,0.6248457574987968,0.34873607789773664
3,0.365062094833378,0.37050066569353707
4,0.3346639408106696,0.3415359112274393
5,0.30540909746575706,0.3350312918251643
6,0.3170648682719479,0.3146863940671877
7,0.30925518212338976,0.3236502267985923
8,0.31568590352393056,0.32326881676028374
9,0.3231350304135381,0.3174918368908831
10,0.3240787789101729,0.32167105201575324
15,0.3198632032513215,0.3248292664117735
20,0.3110971782329499,0.32427376875051306
25,0.31426892788321564,0.321616015603509
30,0.30951338245426513,0.31845591536884743
35,0.3103634270631159,0.3247520708629138
40,0.2982505481861316,0.32213253872147146
