k,GMM,Kmeans
2,0.5691390234811778,0.5691390234811778
3,0.5691390234811778,0.5691390234811778
4,0.5691390234811778,0.5993291092061126
5,0.571002609019754,0.5941110696980991
6,0.571002609019754,0.5706298919120387
7,0.5769660827431979,0.5956019381289601
8,0.5702571748043235,0.5982109578829669
9,0.5698844576966082,0.5859112933283638
10,0.5698844576966082,0.5829295564666418
15,0.572493477450615,0.5903838986209468
20,0.573984345881476,0.5933656354826686
25,0.5870294446515095,0.6004472605292583
30,0.5885203130823705,0.6019381289601192
35,0.6008199776369736,0.6079016026835632
40,0.6026835631755497,0.6272828922847559
