k,GMM,Kmeans
2,-9.155959905889758e-05,0.002277243835032766
3,-0.0003491540970928666,0.0012263254563954103
4,0.0011976826582263478,0.026647786335469423
5,0.0017188610218358713,0.009593763036299446
6,0.0016758974743939891,0.014211176007410006
7,0.0031013446802065207,0.01733165464663202
8,0.00043582902323644114,0.016581127673804298
9,0.00031338354322701993,0.012688562407615789
10,0.001124818573025282,0.01424356355812563
15,0.0015075462846343383,0.006255573461881909
20,0.0011823800628726288,0.009846354748551755
25,0.004581430024392529,0.009109484537473114
30,0.005158208115707661,0.009041726626124014
35,0.0067501387128414475,0.01192058272906612
40,0.006453435590814603,0.013315837258052883
