,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.920983124,0.227474292,0.008599901,0.00101938,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
1,1.07023077,0.148993529,0.010200262,0.001600117,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
2,1.716000509,0.114051448,0.009198618,0.001165658,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
3,1.751618624,0.310101504,0.012799931,0.001720442,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
4,2.050847673,0.368807526,0.014198923,0.002314614,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
5,3.055608463,1.247006033,0.017001486,0.002190864,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.500802621,0.5,0.5,0.5,0.500160524,0.000321048
6,3.347399616,0.957030345,0.017800283,0.001939611,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
7,2.97861886,0.590575556,0.022599077,0.002058861,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
8,3.370245552,1.322890642,0.022201538,0.001325793,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5,0.5,0.500525158,0.5,0.5,0.500104914,0.000209975,69,0.5,0.5,0.501722918,0.503359579,0.5,0.501016499,0.001348248
9,4.24040699,1.253096379,0.030600548,0.003005668,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
10,4.780199003,0.669510439,0.040801525,0.001938067,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5,0.5,0.5,0.526449507,0.51307927,0.507896916,0.010562801,15,0.5,0.5,0.5,0.546046357,0.530134029,0.515236077,0.019326854
11,5.853798962,1.563033602,0.048201323,0.002713066,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5,0.5,0.518302463,0.5,0.5,0.5036564,0.007317913,31,0.5,0.5,0.520041138,0.5,0.5,0.504008228,0.008016455
12,7.105443478,2.703407355,0.069600582,0.015357974,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5,0.5,0.510772834,0.5,0.5,0.502152158,0.004307326,45,0.5,0.5,0.553764321,0.5,0.5,0.510752864,0.021505728
13,6.825891972,2.114604888,0.072600174,0.009911967,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.5,0.5,0.5,0.5,0.513270882,0.502651209,0.005306126,41,0.5,0.5,0.5,0.5,0.518629186,0.503725837,0.007451674
14,7.10924015,1.460672629,0.072398806,0.012160568,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
15,0.750399637,0.27423704,0.008400249,0.003382397,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.498494714,0.499698943,0.000602114
16,1.153398752,0.202661497,0.010800028,0.002482224,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.510705432,0.501591546,0.501050316,0.5,0.5,0.502675047,0.004068482,39,0.499546625,0.502014742,0.499853585,0.499590835,0.5,0.500201157,0.000922092
17,1.633227539,0.128925815,0.012598848,0.003497446,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
18,1.616799307,0.344618446,0.010799265,0.002482393,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
19,1.718801355,0.353567277,0.010798454,0.000981226,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,77,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
20,3.128998709,1.38029494,0.013199997,0.002315762,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 7}",0.5,0.5,0.487488468,0.5,0.479880775,0.493481146,0.008345259,289,0.5,0.5,0.526677135,0.5,0.504150927,0.506165612,0.010381001
21,3.020399618,0.975949936,0.01479969,0.002313295,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}",0.5,0.5,0.490561351,0.5,0.514959903,0.501103016,0.007828841,63,0.5,0.5,0.496516123,0.502819038,0.506407307,0.501148494,0.00330281
22,2.47459898,0.443831898,0.017400312,0.001625007,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 9}",0.5,0.495204142,0.49000071,0.510964445,0.5,0.499232929,0.006928695,258,0.5,0.513071253,0.48915336,0.510299465,0.5,0.502504815,0.008523095
23,2.98440752,1.148072101,0.0204,0.002577551,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.5,0.5,0.500525158,0.497643886,0.5,0.499634218,0.001015043,250,0.5,0.5,0.501722918,0.506538683,0.5,0.50165232,0.002532667
