,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.640842199,0.177451556,0.003797913,0.000748431,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5,0.540806188,0.510503158,0.517649564,0.513776361,0.015071127,243,0.5,0.5,0.524034591,0.522007785,0.513772283,0.511962932,0.010354914
1,0.652927399,0.169182932,0.005503321,0.001489081,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.500971941,0.513475087,0.602285147,0.504201263,0.518203108,0.527801941,0.037728205,191,0.501521002,0.505012285,0.597179192,0.508190384,0.540790463,0.530538665,0.036163865
2,0.906446314,0.156351078,0.003799391,0.001720551,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.512268988,0.598442407,0.625824995,0.561017671,0.600120644,0.579491846,0.039497948,76,0.514200889,0.591498771,0.63617729,0.564991374,0.635494316,0.588472528,0.045964316
3,0.921609259,0.292665185,0.003000212,0.001094757,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.500521185,0.647398353,0.592463274,0.498694202,0.49650841,0.547119727,0.06195995,160,0.499444249,0.65004095,0.594505684,0.502477109,0.567557836,0.562805166,0.057081824
4,0.922800779,0.221142006,0.006399632,0.003930235,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.513832545,0.681542314,0.574068554,0.56852601,0.608203818,0.589212845,0.055217594,51,0.507970633,0.663849304,0.578231079,0.572230283,0.643804131,0.593217086,0.055641609
5,0.899401474,0.267458552,0.00410738,0.001015637,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.570726279,0.566632714,0.585480094,0.513781847,0.546277766,0.556594032,0.024785897,137,0.589724465,0.552989353,0.596988543,0.502033883,0.57028354,0.562403957,0.033875573
6,1.087643814,0.151307534,0.00440011,0.001855191,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.594912103,0.58704694,0.6459868,0.617564403,0.639621035,0.616998598,0.023399808,7,0.626199251,0.583226863,0.660143761,0.614607865,0.647249967,0.626285541,0.026744388
7,1.220018053,0.182108078,0.004598904,0.001356952,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.495619225,0.5529242,0.636597828,0.525065645,0.634703002,0.568921308,0.057379202,103,0.508233883,0.563718264,0.650801079,0.516148096,0.674922812,0.582764827,0.068523642
8,1.304599285,0.360096196,0.003600454,0.000489475,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.501042371,0.593752653,0.500525158,0.665516997,0.650046129,0.582120496,0.070615166,66,0.500643501,0.597592138,0.508618569,0.625677445,0.688849471,0.584276225,0.071477901
9,1.373600912,0.314889603,0.004800892,0.001468653,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.54313162,0.638867668,0.621510184,0.63566106,0.603938684,0.608584298,0.035025068,21,0.538098163,0.625323505,0.648132437,0.638193038,0.640722343,0.618093897,0.040669203
