k,type,score,label
2,Kmeans,-0.005641,0
2,Kmeans,-0.011006,0
2,Kmeans,0.13342,1
2,Kmeans,-0.013322,0
2,Kmeans,0.022251,0
2,Kmeans,0.057817,1
2,Kmeans,0.054569,1
2,Kmeans,0.118639,1
2,Kmeans,-0.018487,0
2,Kmeans,0.081951,1
2,Kmeans,0.12772,1
2,Kmeans,0.116844,1
2,Kmeans,0.026591,0
2,Kmeans,0.042377,0
2,Kmeans,0.104262,1
2,Kmeans,0.135204,1
2,Kmeans,0.092108,1
2,Kmeans,0.081399,1
2,Kmeans,0.058268,1
2,Kmeans,0.116479,1
2,Kmeans,0.067999,1
2,Kmeans,0.024142,0
2,Kmeans,-0.055586,0
2,Kmeans,0.080968,1
2,Kmeans,-0.014253,0
2,Kmeans,0.090637,1
2,Kmeans,0.105819,1
2,Kmeans,0.022075,0
2,Kmeans,0.104712,1
2,Kmeans,0.094731,1
2,Kmeans,0.050369,0
2,Kmeans,-0.003233,0
2,Kmeans,0.158741,1
2,Kmeans,0.101825,1
2,Kmeans,-0.004177,0
2,Kmeans,0.057121,0
2,Kmeans,0.003274,0
2,Kmeans,-0.033001,0
2,Kmeans,0.000407,0
2,Kmeans,0.039444,0
2,Kmeans,-0.036434,0
2,Kmeans,0.074271,1
2,Kmeans,0.186809,1
2,Kmeans,0.0489,0
2,Kmeans,-0.039498,0
2,Kmeans,0.00831,0
2,Kmeans,0.027173,0
2,Kmeans,0.103853,0
2,Kmeans,0.082523,1
2,Kmeans,0.096272,1
2,Kmeans,0.115278,1
2,Kmeans,0.033741,1
2,Kmeans,0.008736,0
2,Kmeans,0.039684,0
2,Kmeans,-0.029803,0
2,Kmeans,0.020793,1
2,Kmeans,0.036187,1
2,Kmeans,0.002402,0
2,Kmeans,0.159383,1
2,Kmeans,0.092671,0
2,Kmeans,0.041999,0
2,Kmeans,0.011343,0
2,Kmeans,-0.021775,0
2,Kmeans,0.082743,1
2,Kmeans,0.150647,1
2,Kmeans,0.03506,1
2,Kmeans,0.10527,0
2,Kmeans,0.133242,1
2,Kmeans,-0.011934,0
2,Kmeans,-0.037876,0
2,Kmeans,0.082932,0
2,Kmeans,-0.028825,0
2,Kmeans,-0.028504,0
2,Kmeans,-0.020211,0
2,Kmeans,0.090408,1
2,Kmeans,0.115,1
2,Kmeans,0.107407,1
2,Kmeans,0.092611,1
2,Kmeans,0.188187,1
2,Kmeans,-0.017298,0
2,Kmeans,-0.012265,0
2,Kmeans,0.093018,1
2,Kmeans,0.030834,0
2,Kmeans,0.074302,1
2,Kmeans,0.130084,1
2,Kmeans,0.014043,0
2,Kmeans,-0.024575,0
2,Kmeans,0.023451,0
2,Kmeans,-0.029784,0
2,Kmeans,0.005394,0
2,Kmeans,0.042796,0
2,Kmeans,0.176102,1
2,Kmeans,-0.04577,0
2,Kmeans,0.142262,1
2,Kmeans,0.019326,0
2,Kmeans,0.064108,1
2,Kmeans,0.132833,1
2,Kmeans,0.029802,0
2,Kmeans,0.093913,1
2,Kmeans,0.12644,1
2,Kmeans,0.070266,1
2,Kmeans,0.090288,1
2,Kmeans,-0.003885,0
2,Kmeans,-0.012521,0
2,Kmeans,0.069619,1
2,Kmeans,0.069984,1
2,Kmeans,0.153278,1
2,Kmeans,-0.034795,0
2,Kmeans,0.065256,1
2,Kmeans,0.094098,0
2,Kmeans,0.001641,0
2,Kmeans,0.1573,1
2,Kmeans,0.01429,0
2,Kmeans,-0.015658,0
2,Kmeans,0.083929,1
2,Kmeans,0.201319,1
2,Kmeans,0.062367,1
2,Kmeans,-0.042153,0
2,Kmeans,-0.025806,0
2,Kmeans,0.000515,0
2,Kmeans,0.019849,0
2,Kmeans,0.079777,1
2,Kmeans,0.108537,1
2,Kmeans,0.193461,1
2,Kmeans,0.062539,1
2,Kmeans,-0.035253,0
2,Kmeans,0.097458,1
2,Kmeans,-0.001575,0
2,Kmeans,0.055823,0
2,Kmeans,0.123274,1
2,Kmeans,0.063111,0
2,Kmeans,0.127027,1
2,Kmeans,0.103381,1
2,Kmeans,0.074216,1
2,Kmeans,0.082309,1
