k,GMM,Kmeans
2,0.05524906676076795,0.05990282686657068
3,0.04298137136346869,0.05115917531303501
4,0.03862954957536843,0.03984769150458392
5,0.012474857777255259,0.04237823550792841
6,0.007511746075844628,0.04953086163155584
7,0.013649764045454956,0.04414101787433028
8,0.022608646342376176,0.029765782853528464
9,0.022484325853236856,0.03611728553865881
10,0.013944935936942359,0.04615362445395477
15,0.010821636964496676,0.04232785700858418
20,0.0250442638963901,0.04285810486564438
25,0.02859327895099631,0.050011055237824766
30,0.040025169781600665,0.05205234565666298
35,0.05044055160294098,0.0665163231581923
40,0.056301236491976485,0.079783203283206
