k,GMM,Kmeans
2,0.5355070325563096,0.6431592406806335
3,0.7462870069833776,0.745942755975214
4,0.7472214025769647,0.7316809284941478
5,0.7374348382020262,0.7289269204288384
6,0.7452050752434346,0.7501721255040819
7,0.745942755975214,0.7524343464148716
8,0.7472214025769647,0.7472705812924166
9,0.7481557981705518,0.7487459427559752
10,0.7486475853250714,0.7390577358119406
15,0.7559752139274122,0.7421068161699617
20,0.7471230451460608,0.7442706796498475
25,0.749975410642274,0.7585325071309137
30,0.7515983082521884,0.75213927412216
35,0.7578440051145864,0.7566145372282876
40,0.7584833284154617,0.7554834267728927
