k,GMM,Kmeans
2,0.006221175071807967,0.05749583625915083
3,0.15302259623168488,0.12470606726339231
4,0.1078133862192367,0.09730934969212117
5,0.0941965596260157,0.09166468839668648
6,0.09538489414193423,0.09607375617489311
7,0.09233814200383557,0.08994460567744195
8,0.09203975382209988,0.08719099701426447
9,0.0872320189193507,0.08804880258938275
10,0.08636020963330375,0.08579398899844991
15,0.07844912940651204,0.07634300116905447
20,0.07314612120188341,0.07126212339293538
25,0.06698938062661987,0.06741670743001674
30,0.06509114968296707,0.06709488335341568
35,0.06349301073649322,0.06254455712377202
40,0.05996086504736657,0.060365319043152746
