k,GMM,Kmeans
2,0.640885934607716,0.3134366597685436
3,0.33510452716976297,0.3471009653282431
4,0.33122831414316867,0.3419233766631696
5,0.33589451222631367,0.3355006352684988
6,0.3208747593986624,0.3219368336378205
7,0.31266823353578804,0.3225426131455651
8,0.3186165916851542,0.32605903253022533
9,0.2900139058934111,0.3267134143403351
10,0.2935296944666263,0.3235488421549536
15,0.3215999209989411,0.3235115404631374
20,0.3075031526598115,0.32406843992386863
25,0.311672113595887,0.31764542812383595
30,0.3190733746311415,0.32158370699366673
35,0.31656206882462745,0.3197995004174268
40,0.31312371372020775,0.31870827617548264
