k,GMM,Kmeans
2,0.6239284383153186,0.6645546030562803
3,0.6339918002236302,0.6753633991800224
4,0.5691390234811778,0.6757361162877376
5,0.5691390234811778,0.6742452478568767
6,0.5691390234811778,0.6973537085352217
7,0.5691390234811778,0.7003354453969437
8,0.5721207603428997,0.6835631755497578
9,0.5706298919120387,0.7014535967200894
10,0.5732389116660455,0.6910175177040626
15,0.5844204248975028,0.6988445769660827
20,0.6343645173313455,0.7197167349981364
25,0.5978382407752516,0.7189713007827059
30,0.6276556093924711,0.7029444651509504
35,0.6146105106224375,0.7178531494595602
40,0.6362281028699217,0.7178531494595602
