k,GMM,Kmeans
2,0.06411783354009311,0.09971863980134692
3,0.041935550984680735,0.07404207531443471
4,0.015954263092075628,0.05573815429553515
5,0.010865345143619958,0.055733769102567006
6,0.011979448413084263,0.053758805257555026
7,0.010804112783827471,0.051469290799642416
8,0.01612983080745421,0.047440822461823996
9,0.014606647707453357,0.0510797628586688
10,0.012267689759036672,0.04668892073664556
15,0.014004478062480532,0.040426505347717794
20,0.017294010083283382,0.041766434198301894
25,0.0133729493469681,0.043288663247253195
30,0.019924980562039125,0.03559248126059619
35,0.021826499282776236,0.03722503742856642
40,0.02087771763362666,0.03699442678419336
