k,type,score,label
2,Kmeans,0.007893,0
2,Kmeans,0.180666,1
2,Kmeans,0.234503,1
2,Kmeans,0.185735,0
2,Kmeans,0.295792,1
2,Kmeans,0.310716,1
2,Kmeans,0.188192,0
2,Kmeans,0.228509,1
2,Kmeans,0.244253,1
2,Kmeans,0.018014,0
2,Kmeans,0.271114,0
2,Kmeans,0.251197,1
2,Kmeans,0.21822,1
2,Kmeans,0.017207,0
2,Kmeans,0.35213,1
2,Kmeans,0.16234,1
2,Kmeans,0.34185,1
2,Kmeans,0.313328,0
2,Kmeans,0.168743,1
2,Kmeans,0.318288,1
2,Kmeans,0.356163,1
2,Kmeans,0.149443,0
2,Kmeans,-0.013725,0
2,Kmeans,-0.003897,0
2,Kmeans,0.212586,1
2,Kmeans,0.305392,0
2,Kmeans,0.303066,1
2,Kmeans,0.336652,1
2,Kmeans,0.220818,1
2,Kmeans,0.206539,1
2,Kmeans,0.123922,0
2,Kmeans,0.318034,1
2,Kmeans,0.197185,0
2,Kmeans,0.230008,0
2,Kmeans,0.061083,1
2,Kmeans,0.169923,0
2,Kmeans,0.280798,1
2,Kmeans,0.343609,1
2,Kmeans,0.247139,1
2,Kmeans,0.258506,0
2,Kmeans,0.102283,1
2,Kmeans,0.086282,1
2,Kmeans,0.118244,1
2,Kmeans,0.309664,0
2,Kmeans,0.246619,0
2,Kmeans,0.312432,1
2,Kmeans,0.167893,1
2,Kmeans,0.180693,0
2,Kmeans,0.372347,1
2,Kmeans,0.125469,1
2,Kmeans,0.054413,1
2,Kmeans,0.116282,0
2,Kmeans,-0.004638,0
2,Kmeans,0.070092,1
2,Kmeans,0.079474,0
2,Kmeans,0.31369,0
2,Kmeans,0.342423,1
2,Kmeans,0.298925,1
2,Kmeans,0.402813,1
2,Kmeans,0.327742,0
2,Kmeans,-0.03552,0
2,Kmeans,0.066854,0
2,Kmeans,0.384105,1
2,Kmeans,0.162141,1
2,Kmeans,0.292009,1
2,Kmeans,0.247456,0
2,Kmeans,0.033537,1
2,Kmeans,0.037492,0
2,Kmeans,0.153607,1
2,Kmeans,0.167204,1
2,Kmeans,0.089199,0
2,Kmeans,0.128631,0
2,Kmeans,0.15567,0
2,Kmeans,0.283005,1
2,Kmeans,-0.030602,0
2,Kmeans,0.214746,1
2,Kmeans,0.22682,0
2,Kmeans,0.072744,0
2,Kmeans,0.324742,1
2,Kmeans,0.172365,1
2,Kmeans,0.321115,1
2,Kmeans,0.307758,1
2,Kmeans,0.290346,1
2,Kmeans,0.358652,1
2,Kmeans,0.264473,0
2,Kmeans,-0.031051,0
2,Kmeans,0.244855,0
2,Kmeans,0.111281,0
2,Kmeans,0.124677,0
2,Kmeans,0.04976,1
2,Kmeans,0.104246,1
2,Kmeans,0.348753,1
2,Kmeans,0.303039,1
2,Kmeans,0.159499,1
2,Kmeans,0.128844,1
2,Kmeans,0.213913,0
2,Kmeans,0.223129,1
2,Kmeans,-0.016579,0
2,Kmeans,0.406369,1
2,Kmeans,0.161999,0
2,Kmeans,0.21799,1
2,Kmeans,0.221255,1
2,Kmeans,0.11712,1
2,Kmeans,0.046106,0
2,Kmeans,0.215647,0
2,Kmeans,0.146309,0
2,Kmeans,0.350018,1
2,Kmeans,0.033748,0
2,Kmeans,0.369358,1
2,Kmeans,0.099864,0
2,Kmeans,0.134603,1
2,Kmeans,0.165569,1
2,Kmeans,0.085886,1
2,Kmeans,0.17105,1
2,Kmeans,0.213638,0
2,Kmeans,0.357357,1
2,Kmeans,0.039157,1
2,Kmeans,0.143633,0
2,Kmeans,0.36489,1
2,Kmeans,0.131798,1
2,Kmeans,0.350815,1
2,Kmeans,0.01389,0
2,Kmeans,0.048476,0
2,Kmeans,0.0813,1
2,Kmeans,0.088502,1
2,Kmeans,0.286352,0
2,Kmeans,0.320404,0
2,Kmeans,0.243726,1
2,Kmeans,0.194816,1
2,Kmeans,0.143246,0
2,Kmeans,0.09772,0
2,Kmeans,0.199207,0
2,Kmeans,0.345439,1
2,Kmeans,0.186675,1
2,Kmeans,0.374878,1
2,Kmeans,0.301828,1
2,Kmeans,0.160601,0
2,Kmeans,0.076393,1
2,Kmeans,0.356418,1
2,Kmeans,0.207272,0
2,Kmeans,0.315946,1
2,Kmeans,0.05508,1
2,Kmeans,0.131126,1
2,Kmeans,0.038605,0
2,Kmeans,0.369417,1
2,Kmeans,0.356675,1
2,Kmeans,0.229728,1
2,Kmeans,0.087616,1
2,Kmeans,0.333759,1
2,Kmeans,0.256031,1
2,Kmeans,0.294379,0
2,Kmeans,0.306186,0
2,Kmeans,0.3587,1
2,Kmeans,0.293954,1
2,Kmeans,0.387248,1
2,Kmeans,0.354395,1
2,Kmeans,0.420822,1
2,Kmeans,0.258891,1
2,Kmeans,0.117424,1
2,Kmeans,0.219276,0
2,Kmeans,0.245515,0
2,Kmeans,0.270258,0
2,Kmeans,0.164881,1
2,Kmeans,0.261873,0
2,Kmeans,0.132953,1
2,Kmeans,0.333487,0
2,Kmeans,0.254261,1
2,Kmeans,0.325953,1
2,Kmeans,0.113037,1
2,Kmeans,0.270172,1
2,Kmeans,0.339325,1
2,Kmeans,0.170799,1
2,Kmeans,0.249865,1
2,Kmeans,0.393839,1
2,Kmeans,0.391931,1
2,Kmeans,0.322022,1
2,Kmeans,0.328294,1
2,Kmeans,0.357444,1
2,Kmeans,0.375281,1
2,Kmeans,0.330409,1
2,Kmeans,0.241203,1
2,Kmeans,0.129727,1
2,Kmeans,0.353502,1
2,Kmeans,0.197063,0
2,Kmeans,0.29207,0
2,Kmeans,0.068358,1
2,Kmeans,0.159044,0
2,Kmeans,0.258714,1
2,Kmeans,0.274526,1
2,Kmeans,0.353988,1
2,Kmeans,0.186715,1
2,Kmeans,-0.022651,0
2,Kmeans,0.242802,1
2,Kmeans,0.15987,1
2,Kmeans,0.155865,1
2,Kmeans,0.15388,1
2,Kmeans,0.030481,0
2,Kmeans,0.044449,0
2,Kmeans,0.298504,0
2,Kmeans,0.217656,1
2,Kmeans,0.107602,0
2,Kmeans,0.041273,0
2,Kmeans,0.139064,0
2,Kmeans,0.193034,1
2,Kmeans,0.043206,0
2,Kmeans,0.043575,0
2,Kmeans,0.294391,1
2,Kmeans,0.119481,0
2,Kmeans,0.31611,1
2,Kmeans,0.030345,0
2,Kmeans,0.055577,1
2,Kmeans,0.329621,1
2,Kmeans,0.354205,1
2,Kmeans,0.263446,0
2,Kmeans,0.022758,0
2,Kmeans,0.359502,1
2,Kmeans,0.372486,1
2,Kmeans,0.213308,0
2,Kmeans,0.282828,1
2,Kmeans,0.29434,1
2,Kmeans,0.255877,1
2,Kmeans,0.06751,0
2,Kmeans,0.133454,0
2,Kmeans,0.157617,0
2,Kmeans,0.152432,1
2,Kmeans,0.163478,0
2,Kmeans,0.286401,1
2,Kmeans,0.225329,1
2,Kmeans,0.305942,1
2,Kmeans,0.221502,1
2,Kmeans,0.245779,0
2,Kmeans,0.154234,1
2,Kmeans,0.385812,1
2,Kmeans,0.328743,0
2,Kmeans,0.360005,1
2,Kmeans,-0.01576,0
2,Kmeans,0.309516,0
2,Kmeans,0.047994,0
2,Kmeans,0.027168,0
2,Kmeans,0.233706,0
2,Kmeans,0.173536,0
2,Kmeans,0.068259,1
2,Kmeans,0.162071,1
2,Kmeans,0.281068,1
2,Kmeans,0.225781,0
2,Kmeans,0.074076,1
2,Kmeans,0.157196,0
2,Kmeans,0.115664,1
2,Kmeans,0.290966,1
2,Kmeans,0.293118,0
2,Kmeans,0.140197,0
2,Kmeans,0.317603,0
2,Kmeans,0.335535,1
2,Kmeans,0.322938,1
2,Kmeans,0.075729,1
2,Kmeans,0.367191,1
2,Kmeans,0.065404,0
2,Kmeans,0.142316,0
2,Kmeans,0.328356,1
2,Kmeans,0.365099,1
2,Kmeans,0.373406,1
2,Kmeans,0.278267,1
2,Kmeans,0.203381,1
2,Kmeans,0.318664,0
2,Kmeans,0.13496,1
2,Kmeans,0.179827,0
2,Kmeans,0.181057,1
2,Kmeans,0.088871,0
2,Kmeans,0.200372,0
2,Kmeans,0.154986,0
2,Kmeans,0.066702,1
2,Kmeans,0.231219,1
2,Kmeans,0.360296,1
2,Kmeans,0.403249,1
2,Kmeans,0.350417,1
2,Kmeans,0.139949,1
2,Kmeans,0.12363,1
2,Kmeans,0.020189,0
2,Kmeans,0.199495,1
2,Kmeans,0.350845,1
2,Kmeans,0.262761,0
2,Kmeans,0.424082,1
2,Kmeans,0.255505,0
2,Kmeans,0.342177,1
2,Kmeans,0.157109,0
2,Kmeans,0.189743,0
2,Kmeans,0.137861,1
2,Kmeans,0.17678,1
2,Kmeans,0.083131,0
2,Kmeans,0.167005,1
2,Kmeans,0.204456,0
2,Kmeans,0.27761,1
2,Kmeans,0.104752,1
2,Kmeans,0.329661,1
2,Kmeans,0.178852,0
2,Kmeans,0.150007,0
2,Kmeans,0.223643,1
2,Kmeans,0.250816,1
2,Kmeans,0.283465,0
2,Kmeans,0.08881,0
2,Kmeans,0.055202,0
2,Kmeans,0.085002,1
2,Kmeans,-5.1e-05,0
2,Kmeans,-0.034464,0
2,Kmeans,-0.004661,0
2,Kmeans,0.324597,1
2,Kmeans,0.376439,1
2,Kmeans,0.135562,1
2,Kmeans,0.35857,1
2,Kmeans,0.413957,1
2,Kmeans,0.268953,1
2,Kmeans,0.319457,0
2,Kmeans,0.261731,0
2,Kmeans,0.191667,0
2,Kmeans,0.179417,0
2,Kmeans,0.334062,0
2,Kmeans,0.235591,1
2,Kmeans,0.265074,1
2,Kmeans,0.149836,1
2,Kmeans,0.416652,1
2,Kmeans,0.051736,1
2,Kmeans,0.287164,1
2,Kmeans,0.426996,1
2,Kmeans,0.170476,0
2,Kmeans,0.380481,1
2,Kmeans,0.319469,0
2,Kmeans,0.386425,1
2,Kmeans,0.093441,0
2,Kmeans,0.22165,1
2,Kmeans,0.051868,0
2,Kmeans,0.350835,1
2,Kmeans,0.158548,1
2,Kmeans,0.075402,1
2,Kmeans,0.280158,1
2,Kmeans,0.021231,0
2,Kmeans,0.056114,1
2,Kmeans,0.229775,0
2,Kmeans,0.281403,0
2,Kmeans,0.314376,1
2,Kmeans,0.330189,0
2,Kmeans,0.208241,0
2,Kmeans,0.181011,0
2,Kmeans,0.107251,0
2,Kmeans,0.133789,1
2,Kmeans,0.297018,1
2,Kmeans,0.21277,1
2,Kmeans,0.060959,0
2,Kmeans,0.406677,1
2,Kmeans,0.238485,0
2,Kmeans,0.215429,1
2,Kmeans,0.170946,1
2,Kmeans,0.246564,0
2,Kmeans,0.078056,1
2,Kmeans,0.263477,1
2,Kmeans,0.198346,1
2,Kmeans,0.204956,0
2,Kmeans,0.375068,1
2,Kmeans,0.212353,1
2,Kmeans,0.216097,0
2,Kmeans,0.053937,1
2,Kmeans,0.218328,0
2,Kmeans,0.226799,1
2,Kmeans,0.080316,0
2,Kmeans,0.147301,1
2,Kmeans,0.135595,0
2,Kmeans,0.117331,0
2,Kmeans,0.342486,0
2,Kmeans,-0.013089,0
2,Kmeans,0.33165,1
2,Kmeans,0.136889,1
2,Kmeans,0.163398,0
2,Kmeans,-0.006353,0
2,Kmeans,0.305242,0
2,Kmeans,0.26428,1
2,Kmeans,0.373595,1
2,Kmeans,0.143956,1
2,Kmeans,0.28755,0
2,Kmeans,0.139027,0
2,Kmeans,0.085606,1
2,Kmeans,0.290386,1
2,Kmeans,0.283533,1
2,Kmeans,0.277034,1
2,Kmeans,0.316892,0
2,Kmeans,0.355025,1
2,Kmeans,0.404649,1
2,Kmeans,0.218276,1
2,Kmeans,0.19138,0
2,Kmeans,0.128373,1
2,Kmeans,0.130499,0
2,Kmeans,0.200153,1
2,Kmeans,0.326286,1
2,Kmeans,0.29759,0
2,Kmeans,0.056294,1
2,Kmeans,0.273155,1
2,Kmeans,-0.005078,0
2,Kmeans,0.366583,1
2,Kmeans,0.114811,0
2,Kmeans,0.272124,1
2,Kmeans,0.075134,1
2,Kmeans,0.364984,1
2,Kmeans,0.154439,0
2,Kmeans,0.349354,1
2,Kmeans,0.22355,0
2,Kmeans,0.233672,1
2,Kmeans,0.262169,0
2,Kmeans,0.285954,1
2,Kmeans,0.325731,0
2,Kmeans,0.102391,1
2,Kmeans,0.089479,1
2,Kmeans,0.142907,0
2,Kmeans,0.170986,1
2,Kmeans,0.203726,0
2,Kmeans,0.162646,1
2,Kmeans,0.377029,1
2,Kmeans,0.291286,0
2,Kmeans,0.080349,1
2,Kmeans,0.409877,1
2,Kmeans,0.262244,0
2,Kmeans,0.01347,0
2,Kmeans,0.393306,1
2,Kmeans,0.126232,0
2,Kmeans,0.302304,1
2,Kmeans,0.273928,0
2,Kmeans,0.08688,1
