k,GMM,Kmeans
2,0.09517232189022318,0.20678865094004398
3,0.014064423683868172,0.127377278849718
4,0.0023382788529149063,0.1268756835612472
5,-0.013672334014818174,0.1259664695977265
6,-0.01987451104566354,0.11560964431911558
7,-0.010309375722620242,0.11157402236135047
8,-0.05061995128271606,0.1160772624050547
9,-0.06641754190171943,0.11862187637922586
10,-0.06898723338786834,0.11740769861480475
15,-0.11928069836420002,0.09701915865708252
20,-0.11812488330012139,0.09952414787214464
25,-0.1600139870835316,0.09919166973646991
30,-0.14577091323582494,0.0904370065681424
35,-0.12869751205138782,0.09460352417265934
40,-0.18373630626377802,0.09137284337686244
