k,GMM,Kmeans
2,0.5410150486869283,0.7310907839087243
3,0.8716435526704043,0.7519917379758041
4,0.8474968033834956,0.770679649847546
5,0.8744959181666175,0.7270581292416642
6,0.8576276187665978,0.7367463361856988
7,0.8940198682010426,0.7889249532802203
8,0.8849709845578834,0.8004327726959772
9,0.8778400708173503,0.8075145077210584
10,0.8981017015835546,0.8081538310219337
15,0.8537425002458936,0.8477426969607554
20,0.88841349463952,0.8856103078587587
25,0.9031179305596538,0.8821186190616701
30,0.9078882659584931,0.8859053801514705
35,0.900806530933412,0.8931346513229075
40,0.8959870168191206,0.894610012786466
