k,GMM,Kmeans
2,0.04974462350088738,0.16759167843202225
3,0.34713087408920124,0.18349111350886466
4,0.2452872644052243,0.1925591083344032
5,0.2554138575367138,0.1814975240029711
6,0.22506319991010879,0.18267353601736053
7,0.22158996749989096,0.14890463139895277
8,0.2093999348945515,0.15314395853323542
9,0.19417388809668487,0.1685203945141045
10,0.20182668245980195,0.16789908553419866
15,0.16282019778129236,0.15631812893350694
20,0.16468912023584575,0.15125041454761695
25,0.1579892066050079,0.14030932669166496
30,0.1499470665626148,0.13567848464767834
35,0.14423007513304265,0.13363036138770767
40,0.13942017634736667,0.12849565197878823
