k,GMM,Kmeans
2,0.4912193920103319,0.5120708167552774
3,0.18942415023444062,0.5490968998856236
4,0.058794656312784466,0.5634604923701314
5,0.12117173666193416,0.5098726609367484
6,-0.03211386298919168,0.5174335946156582
7,-0.02757651917010176,0.4747896022325374
8,-0.012192065835525769,0.4829149137438481
9,-0.0541779791498194,0.4555243886037675
10,-0.0726888128993786,0.45975570882272443
15,-0.013414820534482166,0.4314196859674703
20,0.018681104031201396,0.41878687965639766
25,0.033871018228569555,0.4164506389497414
30,-0.006417511274082931,0.4182135235331263
35,0.02928743897302928,0.4154312884653851
40,0.023829406364101077,0.4258672465684806
