k,GMM,Kmeans
2,0.5691390234811778,0.5691390234811778
3,0.5691390234811778,0.5691390234811778
4,0.5691390234811778,0.5780842340663437
5,0.5691390234811778,0.5758479314200522
6,0.5698844576966082,0.5691390234811778
7,0.5721207603428997,0.5728661945583302
8,0.5795751024972047,0.5728661945583302
9,0.5829295564666418,0.5859112933283638
10,0.5821841222512113,0.5747297800969065
15,0.5799478196049198,0.5870294446515095
20,0.5881475959746553,0.5918747670518076
25,0.5915020499440924,0.5948565039135296
30,0.6000745434215431,0.5929929183749534
35,0.6034289973909802,0.5982109578829669
40,0.6082743197912784,0.6116287737607157
