k,GMM,Kmeans
2,3.270500457838507e-05,-0.0002027598581932674
3,2.854003377287147e-06,-0.000469275372203201
4,-0.00039438149072578386,0.003110785411202238
5,0.0006847408978747371,0.0015568794827258618
6,9.93688963702896e-05,-0.0004407931353974871
7,0.0010137782092422942,0.0006638034848850132
8,0.002571588932123333,5.035873497205143e-05
9,0.005279393500786724,0.003440645432588078
10,0.0026822590678198654,0.0006275338724627075
15,0.0014862505657153916,0.0026856752248266987
20,0.003479024497563079,0.002849251484749579
25,0.0033766983565638596,0.003616754613580181
30,0.005490153744966486,0.0027504031747600465
35,0.005360625051745603,0.00408452811895001
40,0.006194150572809688,0.006010046315051949
