,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.294644642,0.029957738,0.006599903,0.002154269,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
1,0.404426718,0.075885137,0.006400013,0.001020339,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
2,0.480200768,0.062464076,0.005998993,0.001095148,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5,0.5,0.5,0.486040735,0.5,0.497211269,0.005581363,289,0.5,0.5,0.5,0.502826116,0.5,0.500565223,0.001130446
3,0.517399359,0.139511625,0.007600355,0.000800937,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.495055781,0.525889144,0.5,0.5,0.5,0.504190265,0.011022385,92,0.526836902,0.515986896,0.5,0.5,0.5,0.50856476,0.011036527
4,0.617000389,0.073052739,0.007599926,0.001356966,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.532144467,0.515109074,0.5,0.5,0.5,0.509469734,0.01277527,29,0.532306657,0.51041769,0.49972221,0.5,0.5,0.508489312,0.012585575
5,0.583400249,0.042870054,0.010400438,0.00079881,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.494745887,0.5,0.5,0.5,0.5,0.498946436,0.002103699,283,0.50985726,0.5,0.5,0.5,0.5,0.501971452,0.003942904
6,0.888000536,0.224928971,0.01099925,0.00357745,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.520678386,0.5,0.5,0.5,0.5,0.504146467,0.008279436,96,0.517491517,0.5,0.5,0.5,0.5,0.503498303,0.006996607
7,0.769599819,0.143105474,0.010800219,0.002039956,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5,0.5,0.510567029,0.511028316,0.530381094,0.510383664,0.011098661,23,0.5,0.5,0.518719423,0.522360773,0.524676428,0.513151325,0.010904681
8,0.755199099,0.076600707,0.01400075,0.002757077,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.529369506,0.504159239,0.504073522,0.511745086,0.496721311,0.509226874,0.01114953,34,0.518720019,0.511040131,0.516835051,0.514080152,0.500086256,0.512152322,0.006566674
9,1.141801357,0.117545967,0.018999815,0.00540482,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
10,2.229999924,0.644752263,0.026800489,0.002398122,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5,0.5,0.523490171,0.498360656,0.50262579,0.50488985,0.009393503,83,0.5,0.5,0.545877825,0.502086964,0.504774627,0.510547883,0.017751834
11,2.387201214,0.653902565,0.032798815,0.003654816,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.498225152,0.5,0.5,0.5,0.510169612,0.501675752,0.004299371,115,0.513191763,0.5,0.5,0.5,0.514256646,0.505489682,0.006731887
12,2.822401285,1.100329524,0.041599703,0.006084784,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
13,2.833600998,0.706887674,0.046798086,0.003868426,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.5,0.5,0.497246469,0.5,0.5,0.49944991,0.00110095,270,0.5,0.5,0.510502942,0.5,0.5,0.502100588,0.004201177
14,3.721011114,0.659012661,0.04139924,0.003878567,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.5,0.5,0.5,0.5,0.502100632,0.500419657,0.0008399,135,0.5,0.5,0.5,0.5,0.507946654,0.501589331,0.003178661
15,0.312601376,0.025632328,0.005399752,0.001854739,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
16,0.373399925,0.044148049,0.00640111,0.002245571,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.5,0.5,0.5,0.528550138,0.502178696,0.506138895,0.011229517,63,0.500394875,0.5,0.499313045,0.521898527,0.497431769,0.503807643,0.00910251
17,0.452000761,0.078635605,0.011200285,0.00305862,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
18,0.447000504,0.113383524,0.007000113,0.001790218,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
19,0.449200058,0.068613403,0.008000946,0.001898536,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 6}",0.482265607,0.515109074,0.5,0.5,0.5,0.499467935,0.010415067,266,0.505806131,0.51041769,0.5,0.5,0.5,0.503244764,0.00423313
20,0.601847172,0.06516304,0.009601212,0.001855309,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 7}",0.492224476,0.508530685,0.518728266,0.5,0.490036193,0.501899179,0.010629498,114,0.536504037,0.51028665,0.531465918,0.5,0.505007299,0.516652781,0.014607952
21,0.878421926,0.236901273,0.008998013,0.002606578,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}",0.469883931,0.521263051,0.509978,0.503896104,0.496657441,0.500320805,0.017245612,136,0.48952849,0.521670762,0.525322245,0.520021232,0.503415756,0.511991697,0.013520382
22,0.594800758,0.096605847,0.008400488,0.001356818,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 9}",0.502676358,0.553157627,0.522390178,0.511028316,0.498360656,0.517524842,0.019618117,1,0.501038376,0.519082719,0.514067324,0.522360773,0.502950414,0.511899921,0.008529789
23,0.665001345,0.117145719,0.014399624,0.004363283,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.5,0.5,0.5,0.517394081,0.496132283,0.502702248,0.007491963,109,0.5,0.5,0.5,0.52465033,0.503971336,0.505724333,0.009587182
24,1.010201216,0.117248271,0.014400721,0.001201511,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
25,1.983504152,0.637014373,0.024600554,0.004757542,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.509141875,0.512414057,0.488985878,0.500667092,0.521197928,0.50648556,0.010937757,59,0.506844507,0.505323505,0.501809174,0.497431769,0.518557969,0.505993385,0.007068958
26,2.538314819,0.509280301,0.03070426,0.003255924,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.532792427,0.512902131,0.501923213,0.512206373,0.521070187,0.516190029,0.010296918,5,0.524599275,0.521605242,0.527457425,0.522477109,0.524788782,0.524185566,0.00204044
27,2.655314827,1.111065779,0.045600414,0.006375082,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.501422696,0.5,0.504854162,0.5,0.499347101,0.501124595,0.001983337,123,0.516423891,0.5,0.502672624,0.5,0.496242314,0.503067766,0.006985004
28,2.701799965,0.669161745,0.041799498,0.004165746,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.496732026,0.5,0.49928323,0.499410972,0.5,0.499083832,0.001214121,282,0.502544753,0.501867322,0.520127394,0.501591542,0.5,0.505226202,0.007497222
29,4.067601538,0.555179255,0.046599388,0.003719757,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.529228645,0.528053646,0.493776169,0.497835498,0.521914697,0.51417814,0.015245508,6,0.548496548,0.533185913,0.540082275,0.499883664,0.535450082,0.531419697,0.016616522
30,0.159799242,0.024441861,0.004400635,0.002871213,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
31,0.236800289,0.043893175,0.006600666,0.001356636,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
32,0.367798567,0.076711341,0.006600332,0.001625506,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
33,0.372000456,0.121814551,0.00640049,0.00149614,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
34,0.396199942,0.082281727,0.006599951,0.001019759,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.505803471,0.522897038,0.487218792,0.482825917,0.497707757,0.499304248,0.014276256,274,0.494734995,0.515937756,0.483847039,0.494410138,0.49691423,0.497168832,0.010424409
35,0.429800081,0.068507603,0.008199549,0.001327467,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
36,0.807398891,0.22545155,0.008401442,0.001959859,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.504930133,0.50106103,0.499410972,0.5,0.524668228,0.506011418,0.009518383,70,0.506859132,0.502358722,0.502642544,0.5,0.500093334,0.502390746,0.00249097
37,0.564200497,0.09153362,0.009800339,0.001165754,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.5,0.5,0.5,0.5,0.5,0.5,0,138,0.5,0.5,0.5,0.5,0.5,0.5,0
38,0.615000343,0.054981921,0.011999893,0.001414044,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.5,0.5,0.495543255,0.5,0.5,0.499109648,0.00178195,278,0.5,0.5,0.51193303,0.5,0.5,0.502386606,0.004773212
39,1.095401287,0.112453234,0.015398026,0.001744232,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.527214334,0.511225702,0.511283798,0.498914201,0.507877369,0.511314913,0.009152806,21,0.518588394,0.511416871,0.514797187,0.521608794,0.515742911,0.516430831,0.003456825
40,1.981800508,0.695430105,0.026599884,0.003200025,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.527003043,0.5,0.503612235,0.518905684,0.512539919,0.512418426,0.009870286,11,0.519787645,0.49985258,0.520667935,0.520014155,0.506868669,0.513438197,0.00852708
41,2.121998644,0.586917325,0.027601671,0.002871043,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 25}",0.503676471,0.489835328,0.521417926,0.494443262,0.466744731,0.495227836,0.017870732,296,0.520562771,0.497608518,0.526217986,0.503677622,0.504361923,0.510485764,0.010942802
42,2.649401999,1.009346882,0.039598083,0.005571397,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 30}",0.503577868,0.503183091,0.506649635,0.506252218,0.51069477,0.506068581,0.002694465,69,0.510954136,0.505257985,0.534908657,0.508715,0.509038793,0.513774914,0.01072533
43,2.507000256,0.677546059,0.040399504,0.00467221,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 35}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.501623377,0.5,0.5,0.5,0.5,0.500324675,0.000649351
44,3.564402008,0.66164674,0.043599272,0.007837406,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 40}",0.510663173,0.502843562,0.479611099,0.502767724,0.483265914,0.495843965,0.012151867,295,0.515619516,0.506601147,0.530716592,0.519391339,0.502414296,0.514948578,0.009955967
45,0.278201199,0.02801709,0.00439992,0.001357247,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
46,0.342402077,0.042476382,0.005400419,0.001854697,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
47,0.448398972,0.064957264,0.008599997,0.003136365,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 4}",0.5,0.5,0.5,0.47320985,0.5,0.494647961,0.010711564,297,0.5,0.5,0.5,0.500887778,0.5,0.500177556,0.000355111
48,0.538399601,0.072653434,0.006001282,0.001414954,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 5}",0.495295245,0.540297937,0.5,0.5,0.5,0.507122189,0.016695502,43,0.526690652,0.514627355,0.5,0.5,0.5,0.508263601,0.010815867
49,0.443601513,0.066676093,0.008398533,0.001020628,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
50,0.508199739,0.090856523,0.009399557,0.001959158,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 7}",0.5,0.530621339,0.5,0.5,0.5,0.506128833,0.012251958,67,0.5,0.516543817,0.5,0.5,0.5,0.503308763,0.006617527
51,0.805200052,0.208874154,0.008999777,0.00141455,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 8}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
52,0.584416008,0.085281244,0.009600115,0.000490915,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 9}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
53,0.68923831,0.054707672,0.012398863,0.001020151,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 10}",0.5,0.5,0.512731531,0.511745086,0.510375417,0.506962613,0.005741819,50,0.5,0.5,0.518982174,0.514080152,0.50796479,0.508205423,0.007554689
54,1.007808256,0.11561498,0.013799953,0.0020389,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
55,2.136399364,0.684463981,0.028601265,0.006020014,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 20}",0.490604575,0.502122061,0.497707757,0.5,0.5,0.498082805,0.003997027,288,0.520928396,0.495855856,0.518843721,0.49970717,0.5,0.507067029,0.010588945
56,2.049401522,0.626885111,0.029800224,0.004954955,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 25}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
57,2.762806892,1.110267293,0.036000347,0.005656596,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 30}",0.516889227,0.51950174,0.5,0.507110922,0.5,0.508710508,0.008218704,38,0.513937639,0.513169533,0.5,0.530595391,0.5,0.511540513,0.011294735
58,2.510220528,0.637458041,0.040199852,0.006764747,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 35}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
59,3.227227402,0.512703466,0.037801838,0.006304349,0.1,"(25, 25)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 40}",0.511705544,0.502164502,0.498232915,0.501319991,0.493967781,0.501486026,0.005869088,119,0.518339768,0.504455364,0.516520104,0.500168532,0.49746981,0.507390716,0.008513849
60,0.48120203,0.019073137,0.006200123,0.000979901,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
61,0.570400286,0.089893749,0.006799793,0.001469237,0.1,"(100, 25, 100)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 3}",0.5,0.5,0.5,0.5340572,0.5,0.506803824,0.013617164,57,0.5,0.5,0.5,0.5209789,0.5,0.50419578,0.00839156
62,0.515800953,0.047472146,0.007200289,0.001468861,0.1,"(100, 25, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
63,0.548002481,0.091251953,0.009599543,0.00162516,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
64,0.60039959,0.07027641,0.008399868,0.001855207,0.1,"(100, 25, 100)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
65,0.652199793,0.145102531,0.010400867,0.001743144,0.1,"(100, 25, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 7}",0.5,0.52682285,0.5,0.5,0.5,0.505368569,0.010732138,79,0.5,0.518705979,0.5,0.5,0.5,0.503741196,0.007482391
66,0.896802139,0.199660699,0.010398722,0.001744374,0.1,"(100, 25, 100)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 8}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,138,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
