,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.461141539,0.122755722,0.003599119,0.000799513,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.516184922,0.534610814,0.502164502,0.5,0.503214818,0.511247414,0.012991677,171,0.532716158,0.521621622,0.500131375,0.5,0.502263458,0.511346523,0.013410922
1,0.486400032,0.07494146,0.003600168,0.001853886,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.499859139,0.509591715,0.483890427,0.539961678,0.505187708,0.507692996,0.018316326,199,0.502881128,0.51020475,0.539191843,0.523050825,0.5032804,0.515721789,0.013817863
2,0.553998613,0.093605758,0.00340066,0.000800324,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.563063444,0.507830405,0.54672486,0.518522461,0.539897807,0.535218356,0.019802002,29,0.544445419,0.513988534,0.548624762,0.532615119,0.536417924,0.535218352,0.012031555
3,0.535199213,0.122676488,0.002799988,0.000748583,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.559781384,0.502164502,0.506571571,0.524249521,0.520857285,0.522744812,0.020328566,96,0.542237042,0.499180999,0.521230592,0.564284514,0.50218074,0.525822778,0.024651782
4,0.62479949,0.187152044,0.004599237,0.00185406,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.52838348,0.573295985,0.496110993,0.51069477,0.539883614,0.529689065,0.026439019,52,0.532379782,0.566076986,0.512857964,0.520728093,0.517657363,0.529940038,0.019179951
5,0.683399343,0.231855055,0.00340023,0.001020759,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5,0.550250403,0.540167483,0.562657015,0.502164502,0.531031894,0.025494735,44,0.5,0.553005733,0.586958022,0.567056222,0.501475207,0.541699037,0.035145327
6,0.657799578,0.107284393,0.004999876,0.002000213,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.59564458,0.516170104,0.519494713,0.504201263,0.494507132,0.526051806,0.035964773,69,0.58962209,0.497018837,0.567641881,0.506700137,0.505873844,0.533371358,0.037756024
7,0.734800291,0.129850008,0.003798962,0.000979667,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.570064233,0.542313895,0.513732169,0.55366546,0.577297566,0.551425175,0.022468723,5,0.578580204,0.558820639,0.565700447,0.535528376,0.558094838,0.559344901,0.013996101
8,1.068599319,0.281187604,0.006999922,0.006634127,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.512959207,0.568139377,0.549173231,0.526449507,0.582549145,0.547835642,0.025668699,10,0.516394641,0.570581491,0.593601097,0.572071482,0.564622462,0.563454235,0.025494541
9,0.859200191,0.146557123,0.004199696,0.000748086,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.569754339,0.566187081,0.518650202,0.551912568,0.535469449,0.548417281,0.019168774,8,0.56045981,0.552809173,0.539495731,0.559623126,0.51821427,0.546120422,0.015845001
10,1.049799871,0.226303564,0.005999517,0.001673712,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.516565247,0.526207453,0.545021645,0.505123838,0.509644454,0.520511707,0.014160742,115,0.544094419,0.506519247,0.565760605,0.503862078,0.51165524,0.526378318,0.024425223
11,1.389998007,0.321278376,0.005400038,0.001018862,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.50090151,0.517018929,0.500461287,0.537541693,0.556475765,0.522461716,0.021734729,98,0.499312624,0.495986896,0.500056177,0.562551422,0.567721502,0.525125724,0.032738212
12,1.429198837,0.229014454,0.005999279,0.001999188,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.591587785,0.499915118,0.523028884,0.485863317,0.51038961,0.522200409,0.03683234,100,0.560796186,0.501031941,0.520896625,0.53198036,0.528362012,0.528613425,0.019325718
13,1.776198196,0.383872805,0.006599045,0.002244769,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.506704981,0.495373907,0.518203108,0.480931091,0.555460933,0.511325404,0.025265953,170,0.507210132,0.493726454,0.529919494,0.496245411,0.542081214,0.513836541,0.019048337
14,2.296796942,0.716065197,0.007200861,0.001468979,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.520114943,0.500594177,0.5,0.499410972,0.510105741,0.506053623,0.008064075,204,0.545045045,0.515036855,0.5,0.502672624,0.495757951,0.511702495,0.017863701
15,0.524798679,0.190841489,0.007399511,0.007498463,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.520847419,0.495331466,0.510233482,0.509992194,0.465651835,0.50042462,0.019180591,254,0.504197379,0.508845209,0.500874508,0.520137568,0.498343433,0.506479619,0.007680612
16,0.385598946,0.125119144,0.00620079,0.003543629,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.527383367,0.50522027,0.482634306,0.513398623,0.499552906,0.505653949,0.014832351,205,0.523209898,0.504897625,0.521988765,0.487239793,0.498366435,0.507140503,0.013832927
17,0.634400415,0.130365408,0.003001642,0.00089326,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.541948389,0.493421611,0.495287772,0.497771627,0.491632957,0.504036803,0.019095321,229,0.544313794,0.501621622,0.508524351,0.498813642,0.515584111,0.513771504,0.016340177
18,0.46439929,0.022464717,0.003000546,1.05E-06,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,255,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
19,0.616798401,0.151611734,0.002999926,0.000631807,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.545624859,0.504477549,0.497132922,0.505059967,0.487502661,0.507986371,0.019889726,194,0.547224172,0.491466011,0.522506303,0.511823771,0.511101871,0.516824426,0.018205668
20,0.532799292,0.020922051,0.005198765,0.000748189,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.501591729,0.501464222,0.497452275,0.529586261,0.496465829,0.505307856,0.012305667,211,0.508541009,0.51049959,0.508666785,0.506639979,0.489151148,0.504699702,0.007869616
21,0.69979949,0.159396285,0.003000355,0.000631656,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.562316881,0.512032086,0.516549571,0.512170889,0.508402526,0.5223204,0.020196404,99,0.546726922,0.511253071,0.546552838,0.525737603,0.51996594,0.530047275,0.014311344
22,0.611399126,0.141813672,0.004999971,0.001413976,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.482744535,0.50872167,0.49275424,0.510119935,0.497147115,0.498289791,0.010226425,274,0.487012987,0.505978706,0.491218207,0.522525324,0.519300217,0.505207088,0.014323736
23,1.045000029,0.531909226,0.00619874,0.003123468,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.498366013,0.498005263,0.538002981,0.486707828,0.499403875,0.504090649,0.017563842,225,0.498888499,0.486289926,0.540174725,0.486871765,0.524148273,0.507274638,0.021420074
24,1.645999002,0.599909952,0.018799829,0.011284398,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.482645932,0.492912316,0.498360656,0.540422965,0.505279966,0.503904401,0.01969122,233,0.487846613,0.517690418,0.498348299,0.517333569,0.517396824,0.507723145,0.012395573
25,1.896398735,0.156330005,0.007400751,0.002153538,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.502817219,0.517082591,0.531090767,0.507075438,0.470009226,0.505617237,0.020279175,209,0.531034281,0.52954955,0.572034768,0.495312071,0.504760915,0.526538317,0.026640353
26,1.621199656,0.179115802,0.00800004,0.003033402,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5465968,0.498366013,0.500461287,0.5,0.520750834,0.513254314,0.018609366,160,0.531092781,0.500540541,0.509230327,0.5,0.500880701,0.50834887,0.011870212
27,1.861198664,0.094495913,0.007199812,0.002482919,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.508268537,0.561157796,0.499425165,0.529472713,0.509403165,0.521550342,0.022117166,107,0.500921376,0.512022932,0.522499226,0.507220772,0.497536161,0.508040094,0.008793288
