k,type,score,label
2,Kmeans,0.568672,1
2,Kmeans,0.596126,1
2,Kmeans,0.489689,1
2,Kmeans,0.608768,1
2,Kmeans,0.612221,1
2,Kmeans,0.540276,1
2,Kmeans,0.61145,1
2,Kmeans,0.58787,1
2,Kmeans,0.481048,1
2,Kmeans,0.583864,1
2,Kmeans,0.575026,1
2,Kmeans,0.557748,1
2,Kmeans,0.492797,1
2,Kmeans,0.592056,1
2,Kmeans,0.314137,1
2,Kmeans,0.515835,1
2,Kmeans,0.592966,1
2,Kmeans,0.519941,1
2,Kmeans,0.545051,1
2,Kmeans,0.433928,1
2,Kmeans,0.556992,1
2,Kmeans,0.52277,1
2,Kmeans,0.565619,1
2,Kmeans,0.588197,1
2,Kmeans,0.482842,1
2,Kmeans,0.584051,1
2,Kmeans,0.521532,1
2,Kmeans,0.611385,1
2,Kmeans,0.597015,1
2,Kmeans,0.482506,1
2,Kmeans,0.607602,1
2,Kmeans,0.485147,1
2,Kmeans,0.628138,1
2,Kmeans,0.241062,1
2,Kmeans,0.581767,1
2,Kmeans,0.578635,1
2,Kmeans,0.593618,1
2,Kmeans,0.52056,1
2,Kmeans,0.528855,1
2,Kmeans,0.289172,1
2,Kmeans,0.482524,1
2,Kmeans,0.314678,1
2,Kmeans,0.588094,1
2,Kmeans,0.623163,1
2,Kmeans,0.587615,1
2,Kmeans,0.581146,1
2,Kmeans,0.440198,1
2,Kmeans,0.588195,1
2,Kmeans,0.51815,1
2,Kmeans,0.471529,1
2,Kmeans,0.572179,1
2,Kmeans,0.609678,1
2,Kmeans,0.363303,1
2,Kmeans,0.573913,1
2,Kmeans,0.553759,1
2,Kmeans,0.237549,1
2,Kmeans,0.29143,0
2,Kmeans,0.535891,1
2,Kmeans,0.323498,1
2,Kmeans,0.53768,1
2,Kmeans,0.578013,1
2,Kmeans,0.609823,1
2,Kmeans,0.536573,1
2,Kmeans,0.48819,1
2,Kmeans,0.412356,1
2,Kmeans,0.605138,1
2,Kmeans,0.525832,1
2,Kmeans,0.547991,1
2,Kmeans,0.444529,1
2,Kmeans,0.555308,1
2,Kmeans,0.573173,1
2,Kmeans,0.553759,1
2,Kmeans,0.317611,1
2,Kmeans,0.40063,1
2,Kmeans,0.613686,1
2,Kmeans,0.566277,1
2,Kmeans,0.451432,1
2,Kmeans,0.571869,1
2,Kmeans,0.591737,1
2,Kmeans,0.435985,1
2,Kmeans,0.552574,1
2,Kmeans,0.481993,1
2,Kmeans,0.506087,1
2,Kmeans,0.277843,1
2,Kmeans,0.563456,1
2,Kmeans,0.61209,1
2,Kmeans,0.559504,1
2,Kmeans,0.558385,1
2,Kmeans,0.38789,1
2,Kmeans,0.601023,1
2,Kmeans,0.581432,1
2,Kmeans,0.567852,1
2,Kmeans,0.549881,1
2,Kmeans,0.510157,1
2,Kmeans,0.597833,1
2,Kmeans,0.530583,1
2,Kmeans,0.392089,1
2,Kmeans,0.602362,1
2,Kmeans,0.57517,1
2,Kmeans,0.602215,1
2,Kmeans,0.417808,1
2,Kmeans,0.612369,1
2,Kmeans,0.586718,1
2,Kmeans,0.615251,1
2,Kmeans,0.565391,1
2,Kmeans,0.611365,1
2,Kmeans,0.565117,1
2,Kmeans,0.352243,1
2,Kmeans,0.416765,1
2,Kmeans,0.6165,1
2,Kmeans,0.598194,1
2,Kmeans,0.572734,1
2,Kmeans,0.607799,1
2,Kmeans,0.538593,1
2,Kmeans,0.502913,1
2,Kmeans,0.474434,1
2,Kmeans,0.603404,1
2,Kmeans,0.081792,0
2,Kmeans,0.534224,1
2,Kmeans,0.599403,1
2,Kmeans,0.505572,1
2,Kmeans,0.624409,1
2,Kmeans,0.489837,1
2,Kmeans,0.48705,1
2,Kmeans,0.437763,1
2,Kmeans,0.559531,1
2,Kmeans,0.555405,1
