k,GMM,Kmeans
2,0.2109670844676756,0.48528658171595795
3,0.10391708099855813,0.10797164957155579
4,0.112343783863039,0.12187289006770453
5,0.09827360060603038,0.11995034821220003
6,-0.02644269252041662,0.15424630133704068
7,0.03054615562716509,0.3267800101219813
8,0.07721976504072416,0.2098363389714379
9,0.022101881990186145,0.24166477936918807
10,0.0025881670498342302,0.210996849553831
15,0.023335921641255725,0.1658517974252921
20,0.06956722081263018,0.1851214942738453
25,0.07980626975630951,0.21418935140894257
30,0.07510503771787747,0.20161985622405898
35,0.07093856778855352,0.21430919483406505
40,0.07812789619484899,0.22332183642203662
