k,GMM,Kmeans
2,0.5355070325563096,0.5355070325563096
3,0.7021736992229763,0.5355070325563096
4,0.7150585226713878,0.7918264974918855
5,0.8082521884528376,0.7959575095898496
6,0.8231041605193272,0.789269204288384
7,0.8168092849414773,0.7945313268417429
8,0.8055473591029803,0.7745155896527983
9,0.8052522868102685,0.7822858266942068
10,0.8071702567128947,0.7833677584341497
15,0.8075636864365103,0.8134651322907446
20,0.825415560145569,0.841988787252877
25,0.8898396773876266,0.8412511065210977
30,0.8315628995770631,0.8394314940493754
35,0.8917576472902528,0.8619553457263697
40,0.8781351431100619,0.8603324481164552
