k,GMM,Kmeans
2,0.004244218390093114,0.007036278927102694
3,0.12734152752329486,0.007624106480622194
4,0.13341141019735597,0.2677818240258783
5,0.1991738671554344,0.2438852624195482
6,0.19383404325156736,0.17486061503824638
7,0.16719055258197804,0.16891284206503543
8,0.1553844265810777,0.1337474433037729
9,0.1549001980842285,0.1255507485788917
10,0.1417017743702109,0.1314290356954331
15,0.11922303674347415,0.134370155192496
20,0.1328361497331745,0.12540653133051521
25,0.14496166208462316,0.11441557746877476
30,0.11996620578775449,0.10839787660633965
35,0.13628162376431935,0.10911276365613519
40,0.13013589776148787,0.10325841186163595
