k,GMM,Kmeans
2,0.43417571435562463,0.7964839524758626
3,0.11098830785701151,0.7785381574009358
4,0.1063667322778704,0.34279679485062675
5,0.09150345549044686,0.3562935198063857
6,0.07839906293705473,0.2906433821750611
7,0.04320032332419831,0.29631559917443023
8,0.02803933202883635,0.25986505468495086
9,0.02751604770446043,0.24952915999582836
10,-0.036016954528842314,0.24682559504845722
15,-0.047062588618602484,0.24840058294612982
20,-0.05520138910017511,0.2286090296696185
25,-0.0629422502227922,0.214543589101869
30,-0.11580429407761246,0.22557543059012317
35,-0.11937926977686619,0.22592571794186364
40,-0.14160950103654638,0.2228047423941496
