,0,1,2,3,4,5,6,7,8,9
2,0.6668432577039405,0.6846570109132032,0.8626045963197749,0.7155396658926934,0.7046401767064262,0.7095044047618613,0.7484592926949774,0.7118564945847582,0.8328006856690353,0.8258136558436189
3,0.5928440366195726,0.590451056488811,0.7113507062900445,0.5696670926224391,0.6860818449711792,0.5749405160429027,0.5825812562126833,0.6253052938393449,0.7216327420400191,0.7451199707907206
4,0.4000435667519887,0.503160816884163,0.5448911254651536,0.43845560656982674,0.5663999004965673,0.4178546669801333,0.4885408361737554,0.4766617890176794,0.5952009553764683,0.5458764161904466
5,0.28719015156464023,0.23801934564719016,0.41300700486342534,0.23039358921497927,0.39970071384656575,0.2749611757074204,0.25719708006315883,0.2630897274902906,0.5214886712303951,0.44150616753879834
6,0.27805610476568976,0.33340922578140303,0.2906084679941298,0.17027609902001534,0.30312031243000936,0.14275024551227447,0.21894183034631418,0.3089613444821822,0.4494039808230304,0.28152881035759375
7,0.1316621844193207,0.19055208292426462,0.13227875565720804,5.669771361772848e-30,0.14285714285713685,1.6839607921136906e-30,6.665523310172541e-30,0.15388350409627716,0.29647183875247146,0.14285714285714185
8,1.1784426713225636e-30,3.4135628287085796e-30,0.14623071308005506,1.7002537553395144e-30,0.1293304353105419,6.972273517795517e-31,7.85911556464199e-31,8.726366922367906e-31,0.1245241814818759,8.336249170518503e-30
9,5.017496394375749e-30,1.5735109648592848e-30,4.044309995114074e-31,1.1056838137949927e-30,7.377065179539787e-31,3.0147921938257863e-30,9.130028717694545e-31,7.4111474542631444e-31,9.272439633184617e-30,6.644610105486741e-31
10,6.232252121279072e-31,1.0338928074768573e-30,1.0471224467658264e-30,1.2404709191988498e-30,7.28627260971576e-31,5.896143284925462e-31,7.018784073542083e-31,8.484313800998597e-31,9.706563782665956e-31,3.5753337053002923e-31
15,1.90685027382233e-30,9.655095151832898e-31,7.135750726562526e-31,5.842108457604327e-31,5.749903444610547e-31,1.2999604323993087e-30,4.241475720161493e-31,5.546853714004336e-30,9.01197121948982e-31,2.2518718408960603e-30
20,7.184409391532163e-31,7.059486955554576e-31,9.272096439625466e-31,8.008704582776446e-31,3.9324597966465716e-31,6.582863015044764e-31,5.224469128349841e-31,6.921284012024814e-31,5.997624560762604e-31,8.356995426916795e-30
25,5.436405750544891e-31,6.628212043488791e-31,1.2876087139693857e-29,3.8652703091067714e-31,2.838806001643503e-30,4.637913413921554e-31,3.609919097341373e-31,8.27004875806023e-31,4.105903797051697e-31,5.180234649398214e-31
30,4.305463125947735e-31,6.758091846495044e-31,9.202102628201085e-31,4.963001794474183e-31,4.960112282380687e-31,3.667473235158121e-31,8.191747795801053e-31,7.6382693421538e-31,4.301682737893794e-31,2.8602669201181734e-31
35,5.2580110668804474e-30,5.223387487847683e-31,4.289382808017415e-31,9.137241151262674e-31,7.34223593950945e-31,1.1959211213981032e-30,6.012022557341983e-31,7.382969039363763e-31,5.669946795128969e-31,1.787381757432419e-30
40,6.38211221170529e-30,2.951736370060149e-31,7.961461758245222e-30,3.8096905989416688e-31,3.1617626209307425e-31,1.1272002423910116e-30,4.826138179292856e-31,4.018880157922918e-31,2.4213708306113966e-31,9.091011573114371e-31
45,4.379415647399147e-31,9.779160504557617e-31,3.598685806423196e-31,3.8779687069278404e-31,1.021832266816931e-30,5.67798243117491e-31,4.371416476896925e-31,5.0723463033184455e-31,3.80131672257457e-31,6.284042341355894e-31
50,8.518259167464606e-30,5.551999822416655e-31,4.4661647511489525e-31,4.955594668216152e-31,7.228806426424273e-31,4.682394827319351e-31,3.140204687696176e-31,3.383280740905616e-31,4.668902474255626e-31,1.3338210269788393e-30
55,3.3882454625358918e-31,3.061740796248198e-31,2.4977795549269224e-31,4.122781287901233e-31,4.429130171533186e-31,4.902687790564458e-31,6.099953496399588e-31,8.13854368814037e-31,8.176410457255262e-31,6.362343627399613e-31
60,2.5649038576793448e-30,4.056545615699661e-31,5.532174752746131e-31,3.932023148224091e-31,3.3672869893380728e-31,2.648871783762657e-31,7.894187056518227e-31,3.2429925232790637e-31,4.00781062701298e-31,3.660133137399034e-31
