,state,actions,q_value
0,0,0,14.632018344941391
1,0,1,15.747792283375572
2,0,2,18.21944662743887
3,0,3,20.687402755023264
4,1,0,15.971354589005177
5,1,1,17.626173471144156
6,1,2,15.808863229753861
7,1,3,15.654087618193842
8,2,0,13.552979706649436
9,2,1,9.986144722656418
10,2,2,11.187772806985034
11,2,3,11.255973316534336
12,3,0,14.034056601995683
13,3,1,13.995306755606453
14,3,2,16.83292312671911
15,3,3,15.02156704849856
16,4,0,10.799999999999995
17,4,1,10.799999999999995
18,4,2,11.799999999999995
19,4,3,11.999999999999995
20,5,0,8.999999999999995
21,5,1,5.0
22,5,2,9.999999999999995
23,5,3,0.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
