,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
0,0.9,0.9,1.0,0.995,1,1,0.00013399999999919032,22.063705,1.0
1,0.9,0.9,0.995,0.995,2,1,7.390000000029318e-05,22.0637794,1.0
2,0.9,0.9,0.990025,0.995,3,1,5.930000000020641e-05,22.0638391,1.0
3,0.9,0.9,0.985074875,0.995,4,2,6.399999999828765e-05,22.0639035,1.0
4,0.9,0.9,0.9801495006250001,0.995,5,1,4.900000000063187e-05,22.063953,1.0
5,0.9,0.9,0.9752487531218751,0.995,6,1,3.5900000000310683e-05,22.0639894,-1.0
6,0.9,0.9,0.9703725093562657,0.995,7,1,3.549999999918896e-05,22.0640253,0.0
7,0.9,0.9,0.9655206468094844,0.995,8,1,3.62000000002638e-05,22.0640618,-1.0
8,0.9,0.9,0.960693043575437,0.995,9,2,7.24000000005276e-05,22.0641347,-1.0
9,0.9,0.9,0.9558895783575597,0.995,10,2,6.30000000008124e-05,22.0641982,1.0
10,0.9,0.9,0.9511101304657719,0.995,11,2,8.280000000127075e-05,22.0642815,-1.0
11,0.9,0.9,0.946354579813443,0.995,12,2,9.100000000117348e-05,22.0643729,-1.0
12,0.9,0.9,0.9416228069143757,0.995,13,2,6.829999999879988e-05,22.0644416,1.0
13,0.9,0.9,0.9369146928798039,0.995,14,1,7.090000000076202e-05,22.0645129,1.0
14,0.9,0.9,0.9322301194154049,0.995,15,2,7.319999999921833e-05,22.0645865,1.0
15,0.9,0.9,0.9275689688183278,0.995,16,2,7.080000000314612e-05,22.0646576,1.0
16,0.9,0.9,0.9229311239742362,0.995,17,2,5.499999999969418e-05,22.064713,-1.0
17,0.9,0.9,0.918316468354365,0.995,18,1,6.989999999973406e-05,22.0647834,1.0
18,0.9,0.9,0.9137248860125932,0.995,19,1,0.00010230000000177597,22.0648862,-1.0
19,0.9,0.9,0.9091562615825302,0.995,20,1,6.379999999950314e-05,22.0649502,-1.0
20,0.9,0.9,0.9046104802746175,0.995,21,1,4.1199999998298154e-05,22.0649918,1.0
21,0.9,0.9,0.9000874278732445,0.995,22,1,4.1899999999372994e-05,22.065034,1.0
22,0.9,0.9,0.8955869907338783,0.995,23,2,6.760000000127775e-05,22.065102,-1.0
23,0.9,0.9,0.8911090557802088,0.995,24,1,3.470000000049822e-05,22.0651371,-1.0
24,0.9,0.9,0.8866535105013078,0.995,25,1,3.329999999834854e-05,22.0651708,1.0
25,0.9,0.9,0.8822202429488013,0.995,26,1,3.799999999998249e-05,22.0652093,-1.0
26,0.9,0.9,0.8778091417340573,0.995,27,1,7.520000000127425e-05,22.0652852,-1.0
27,0.9,0.9,0.8734200960253871,0.995,28,3,0.0001086000000007914,22.0653942,-1.0
28,0.9,0.9,0.8690529955452602,0.995,29,2,6.070000000235609e-05,22.0654553,-1.0
29,0.9,0.9,0.8647077305675338,0.995,30,1,3.500000000045134e-05,22.0654907,-1.0
30,0.9,0.9,0.8603841919146962,0.995,31,2,5.4200000001003446e-05,22.0655453,-1.0
31,0.9,0.9,0.8560822709551227,0.995,32,1,3.459999999932961e-05,22.0655803,-1.0
32,0.9,0.9,0.851801859600347,0.995,33,1,4.069999999956053e-05,22.0656214,1.0
33,0.9,0.9,0.8475428503023453,0.995,34,1,3.339999999951715e-05,22.0656551,-1.0
34,0.9,0.9,0.8433051360508336,0.995,35,3,9.629999999916095e-05,22.0657518,1.0
35,0.9,0.9,0.8390886103705794,0.995,36,1,7.61000000011336e-05,22.0658284,1.0
36,0.9,0.9,0.8348931673187264,0.995,37,1,5.239999999773204e-05,22.0658813,-1.0
37,0.9,0.9,0.8307187014821328,0.995,38,1,4.030000000199152e-05,22.0659219,1.0
38,0.9,0.9,0.8265651079747222,0.995,39,1,3.64999999966642e-05,22.0659588,1.0
39,0.9,0.9,0.8224322824348486,0.995,40,1,4.630000000105383e-05,22.0660055,1.0
40,0.9,0.9,0.8183201210226743,0.995,41,1,3.350000000068576e-05,22.0660393,-1.0
41,0.9,0.9,0.8142285204175609,0.995,42,1,3.4400000000545106e-05,22.0660741,1.0
42,0.9,0.9,0.810157377815473,0.995,43,1,3.489999999928273e-05,22.0661094,-1.0
43,0.9,0.9,0.8061065909263957,0.995,44,1,3.470000000049822e-05,22.0661445,-1.0
44,0.9,0.9,0.8020760579717637,0.995,45,2,5.33000000011441e-05,22.0661982,-1.0
