,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
0,0.9,0.9,1.0,0.995,1,6,0.0009835,0.0009844,10.0
1,0.9,0.9,0.995,0.995,2,17,0.0014742,0.0024592,18.0
2,0.9,0.9,0.990025,0.995,3,56,0.005167,0.0076269,25.0
3,0.9,0.9,0.985074875,0.995,4,20,0.0017416000000000003,0.0093691,21.0
4,0.9,0.9,0.9801495006250001,0.995,5,18,0.001601,0.0109708,16.0
5,0.9,0.9,0.9752487531218751,0.995,6,16,0.0014420000000000006,0.0124134,6.0
6,0.9,0.9,0.9703725093562657,0.995,7,23,0.0022018999999999997,0.014616,12.0
7,0.9,0.9,0.9655206468094844,0.995,8,43,0.0035239,0.0181405,34.0
8,0.9,0.9,0.960693043575437,0.995,9,9,0.0009084000000000002,0.0190495,25.0
9,0.9,0.9,0.9558895783575597,0.995,10,18,0.001570400000000003,0.0206205,14.0
10,0.9,0.9,0.9511101304657719,0.995,11,15,0.0014262000000000025,0.0220474,15.0
11,0.9,0.9,0.946354579813443,0.995,12,17,0.0016556999999999995,0.0237038,11.0
12,0.9,0.9,0.9416228069143757,0.995,13,34,0.0029858999999999997,0.0266903,12.0
13,0.9,0.9,0.9369146928798039,0.995,14,49,0.004385,0.0310759,8.0
14,0.9,0.9,0.9322301194154049,0.995,15,21,0.0016866,0.0327631,14.0
15,0.9,0.9,0.9275689688183278,0.995,16,20,0.0016404000000000002,0.0344041,16.0
16,0.9,0.9,0.9229311239742362,0.995,17,18,0.0017400999999999944,0.0361447,15.0
17,0.9,0.9,0.918316468354365,0.995,18,49,0.005131700000000003,0.0412772,5.0
18,0.9,0.9,0.9137248860125932,0.995,19,20,0.0020342,0.0433123,14.0
19,0.9,0.9,0.9091562615825302,0.995,20,17,0.001318600000000003,0.0446315,25.0
20,0.9,0.9,0.9046104802746175,0.995,21,28,0.0023294000000000023,0.0469616,19.0
21,0.9,0.9,0.9000874278732445,0.995,22,46,0.0034360000000000016,0.0503981,30.0
