,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
0,0.9,0.9,1.0,0.995,1,32,0.0028659999999263164,598.9819764,29.0
1,0.9,0.9,0.995,0.995,2,17,0.0013813000000482134,598.9833586,21.0
2,0.9,0.9,0.990025,0.995,3,10,0.0008834999999862703,598.9842428,24.0
3,0.9,0.9,0.985074875,0.995,4,27,0.0024445000000241635,598.9866881,29.0
4,0.9,0.9,0.9801495006250001,0.995,5,67,0.005538200000046345,598.9922273,49.0
5,0.9,0.9,0.9752487531218751,0.995,6,8,0.0006650999999919804,598.9928933,20.0
6,0.9,0.9,0.9703725093562657,0.995,7,10,0.0008285000000114451,598.9937225,21.0
7,0.9,0.9,0.9655206468094844,0.995,8,18,0.0016838000000234388,598.995407,20.0
8,0.9,0.9,0.960693043575437,0.995,9,9,0.0007459999999355205,598.9961537,21.0
9,0.9,0.9,0.9558895783575597,0.995,10,39,0.004370500000050015,599.0005256,30.0
10,0.9,0.9,0.9511101304657719,0.995,11,18,0.002811199999996461,599.0033383,25.0
11,0.9,0.9,0.946354579813443,0.995,12,28,0.002792600000020684,599.006132,27.0
12,0.9,0.9,0.9416228069143757,0.995,13,19,0.0017793000000665415,599.0079124,27.0
13,0.9,0.9,0.9369146928798039,0.995,14,33,0.00453570000001946,599.0124498,27.0
14,0.9,0.9,0.9322301194154049,0.995,15,27,0.003782600000022285,599.0162335,37.0
15,0.9,0.9,0.9275689688183278,0.995,16,59,0.005917800000020179,599.0221522,67.0
16,0.9,0.9,0.9229311239742362,0.995,17,10,0.0011991999999736436,599.0233525,21.0
17,0.9,0.9,0.918316468354365,0.995,18,15,0.0014659999999366846,599.0248194,20.0
18,0.9,0.9,0.9137248860125932,0.995,19,20,0.0018654000000424276,599.0266854,17.0
19,0.9,0.9,0.9091562615825302,0.995,20,14,0.0013838999999506996,599.02807,22.0
20,0.9,0.9,0.9046104802746175,0.995,21,14,0.0013026999999965483,599.0293737,19.0
21,0.9,0.9,0.9000874278732445,0.995,22,18,0.0016944999999850552,599.0310693,28.0
22,0.9,0.9,0.8955869907338783,0.995,23,13,0.0011521999999786203,599.0322222,23.0
23,0.9,0.9,0.8911090557802088,0.995,24,11,0.0010233000000425818,599.0332462,20.0
24,0.9,0.9,0.8866535105013078,0.995,25,17,0.0016461999999819454,599.0348933,17.0
25,0.9,0.9,0.8822202429488013,0.995,26,26,0.002815899999973226,599.0377103,28.0
26,0.9,0.9,0.8778091417340573,0.995,27,27,0.0023717999999917083,599.0400833,32.0
27,0.9,0.9,0.8734200960253871,0.995,28,13,0.0011527000000342014,599.0412373,23.0
28,0.9,0.9,0.8690529955452602,0.995,29,35,0.00338679999993019,599.0446257,33.0
29,0.9,0.9,0.8647077305675338,0.995,30,19,0.0019491000000471104,599.0465761,26.0
30,0.9,0.9,0.8603841919146962,0.995,31,18,0.001810999999975138,599.0483879,21.0
31,0.9,0.9,0.8560822709551227,0.995,32,54,0.006227899999998954,599.0546167,77.0
32,0.9,0.9,0.851801859600347,0.995,33,26,0.002611600000022918,599.0572297,53.0
33,0.9,0.9,0.8475428503023453,0.995,34,16,0.0016197999999576496,599.0588506,25.0
34,0.9,0.9,0.8433051360508336,0.995,35,24,0.0022824000000127853,599.061134,17.0
35,0.9,0.9,0.8390886103705794,0.995,36,21,0.002272700000048644,599.063408,25.0
36,0.9,0.9,0.8348931673187264,0.995,37,23,0.002186100000017177,599.0655952,26.0
37,0.9,0.9,0.8307187014821328,0.995,38,8,0.0007018999999672815,599.0662979,21.0
38,0.9,0.9,0.8265651079747222,0.995,39,9,0.000801799999976538,599.0671004,20.0
39,0.9,0.9,0.8224322824348486,0.995,40,28,0.0025384000000485685,599.0696396,46.0
40,0.9,0.9,0.8183201210226743,0.995,41,29,0.0026559000000361266,599.0722963,28.0
41,0.9,0.9,0.8142285204175609,0.995,42,33,0.0029174999999668216,599.0752145,40.0
42,0.9,0.9,0.810157377815473,0.995,43,15,0.0013213999999379666,599.0765366,17.0
43,0.9,0.9,0.8061065909263957,0.995,44,14,0.0012211000000661443,599.0777583,20.0
44,0.9,0.9,0.8020760579717637,0.995,45,16,0.0015116999999236214,599.0792707,16.0
45,0.9,0.9,0.798065677681905,0.995,46,13,0.0013400999999930718,599.0806117,23.0
46,0.9,0.9,0.7940753492934954,0.995,47,31,0.003060499999946842,599.0836731,29.0
47,0.9,0.9,0.7901049725470279,0.995,48,11,0.0011580000000321888,599.0848321,18.0
48,0.9,0.9,0.7861544476842928,0.995,49,9,0.0009172999999691456,599.0857501,20.0
49,0.9,0.9,0.7822236754458713,0.995,50,9,0.0010101000000304339,599.086761,21.0
50,0.9,0.9,0.778312557068642,0.995,51,26,0.0026455000000851214,599.0894075,42.0
51,0.9,0.9,0.7744209942832988,0.995,52,12,0.0012505000000828659,599.0906588,22.0
52,0.9,0.9,0.7705488893118823,0.995,53,38,0.003772199999957593,599.0944317,38.0
53,0.9,0.9,0.7666961448653229,0.995,54,14,0.0014993000000913526,599.0959319,25.0
54,0.9,0.9,0.7628626641409962,0.995,55,18,0.0018086000000039348,599.0977414,23.0
55,0.9,0.9,0.7590483508202912,0.995,56,31,0.0031302999999525127,599.1008725,33.0
56,0.9,0.9,0.7552531090661897,0.995,57,14,0.0014683999999078878,599.1023418,22.0
57,0.9,0.9,0.7514768435208588,0.995,58,17,0.0017501000000947897,599.1040928,24.0
58,0.9,0.9,0.7477194593032545,0.995,59,32,0.003226900000072419,599.1073206,57.0
59,0.9,0.9,0.7439808620067382,0.995,60,14,0.001399600000013379,599.1087216,17.0
60,0.9,0.9,0.7402609576967045,0.995,61,15,0.0015035000000125365,599.110226,26.0
61,0.9,0.9,0.736559652908221,0.995,62,18,0.0018049999999902866,599.1120318,20.0
62,0.9,0.9,0.7328768546436799,0.995,63,14,0.0013893000000280153,599.1134218,25.0
63,0.9,0.9,0.7292124703704616,0.995,64,8,0.0008053000000245447,599.1142279,17.0
64,0.9,0.9,0.7255664080186093,0.995,65,20,0.0019947999999203603,599.1162235,22.0
65,0.9,0.9,0.7219385759785162,0.995,66,26,0.0026206999999658365,599.118845,31.0
66,0.9,0.9,0.7183288830986236,0.995,67,8,0.0010489000000006854,599.119895,17.0
67,0.9,0.9,0.7147372386831305,0.995,68,38,0.003898499999991145,599.1237944,41.0
68,0.9,0.9,0.7111635524897149,0.995,69,17,0.001736700000037672,599.1255319,22.0
69,0.9,0.9,0.7076077347272662,0.995,70,15,0.0015171000000009371,599.1270497,20.0
70,0.9,0.9,0.7040696960536299,0.995,71,14,0.0013878999999406005,599.1284385,21.0
71,0.9,0.9,0.7005493475733617,0.995,72,16,0.0016056000000617132,599.130045,25.0
72,0.9,0.9,0.697046600835495,0.995,73,8,0.000791700000036144,599.1308376,23.0
73,0.9,0.9,0.6935613678313175,0.995,74,25,0.002519600000027822,599.1333588,33.0
74,0.9,0.9,0.6900935609921609,0.995,75,7,0.0007077999999864915,599.1340673,15.0
75,0.9,0.9,0.6866430931872001,0.995,76,44,0.004579100000000835,599.1386473,47.0
76,0.9,0.9,0.6832098777212641,0.995,77,21,0.002164399999969646,599.1408125,24.0
77,0.9,0.9,0.6797938283326578,0.995,78,24,0.002374499999973523,599.1431878,34.0
78,0.9,0.9,0.6763948591909945,0.995,79,25,0.0024887999999236854,599.1456775,31.0
79,0.9,0.9,0.6730128848950395,0.995,80,12,0.0011962999999468593,599.1468745,21.0
80,0.9,0.9,0.6696478204705644,0.995,81,10,0.001000700000076904,599.1478759,18.0
81,0.9,0.9,0.6662995813682115,0.995,82,10,0.0009893999999803782,599.1488661,24.0
