,gamma,step,step_time,time,values,variation,policies,policy_changes
0,0.1,0,8.18e-05,8.18e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
1,0.1,1,5.19e-05,0.0001337,[3.5       5.1857152 1.572     3.3       3.5       5.        0.       ],0.5,[3 1 0 2 3 1 0],0
2,0.1,2,4.430000000000002e-05,0.00017800000000000002,"[3.51857152 5.20657242 1.59576    3.332      3.5        5.
 0.        ]",0.03200000000000003,[3 1 0 2 3 1 0],0
3,0.2,0,5.9800000000000044e-05,5.9800000000000044e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
4,0.2,1,4.3600000000000084e-05,0.00010340000000000013,[4.        5.3714304 1.744     3.6       4.        5.        0.       ],1.0,[3 1 0 2 3 1 0],0
5,0.2,2,4.140000000000003e-05,0.00014480000000000016,"[4.07428608 5.45485926 1.83904    3.728      4.         5.
 0.        ]",0.1280000000000001,[3 1 0 2 3 1 0],0
6,0.2,3,4.690000000000011e-05,0.00019170000000000027,"[4.09097185 5.47575073 1.8542464  3.75104    4.         5.
 0.        ]",0.02303999999999995,[3 1 0 2 3 1 0],0
7,0.30000000000000004,0,6.070000000000012e-05,6.070000000000012e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
8,0.30000000000000004,1,4.530000000000007e-05,0.00010600000000000019,[4.5       5.5571456 1.916     3.9       4.5       5.        0.       ],1.5,[3 1 0 2 3 1 0],0
9,0.30000000000000004,2,4.42000000000001e-05,0.0001502000000000003,"[4.66714368 5.74486054 2.12984    4.188      4.5        5.
 0.        ]",0.28800000000000026,[3 1 0 2 3 1 0],0
10,0.30000000000000004,3,4.189999999999988e-05,0.00019210000000000017,"[4.72345816 5.81536924 2.1811616  4.26576    4.5        5.
 0.        ]",0.07775999999999961,[3 1 0 2 3 1 0],0
11,0.30000000000000004,4,4.259999999999984e-05,0.0002347,"[4.74461077 5.83303192 2.19347878 4.2867552  4.5        5.
 0.        ]",0.021152609568000358,[3 1 0 2 3 1 0],0
12,0.4,0,6.119999999999997e-05,6.119999999999997e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
13,0.4,1,4.579999999999992e-05,0.00010699999999999989,[5.        5.7428608 2.088     4.2       5.        5.        0.       ],2.0,[3 1 0 2 3 1 0],0
14,0.4,2,4.309999999999991e-05,0.0001500999999999998,"[5.29714432 6.07657626 2.46816    4.712      5.         5.
 0.        ]",0.5119999999999996,[3 1 0 2 3 1 0],0
15,0.4,3,4.229999999999989e-05,0.0001923999999999997,"[5.4306305  6.24370799 2.5898112  4.89632    5.         5.
 0.        ]",0.18432000000000048,[3 1 0 2 3 1 0],0
16,0.4,4,4.259999999999984e-05,0.00023499999999999953,"[5.49748319 6.29953076 2.62873958 4.9626752  5.         5.
 0.        ]",0.06685269196800014,[3 1 0 2 3 1 0],0
17,0.4,5,6.0500000000000224e-05,0.00029549999999999976,"[5.5198123  6.31823667 2.64119667 4.98656307 5.         5.
 0.        ]",0.02388787200000042,[3 1 0 2 3 1 0],0
18,0.5,0,6.330000000000007e-05,6.330000000000007e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
19,0.5,1,4.4399999999999995e-05,0.00010770000000000007,[5.5      5.928576 2.26     4.5      5.5      5.       0.      ],2.5,[3 1 0 2 3 1 0],0
20,0.5,2,4.149999999999987e-05,0.00014919999999999994,[5.964288  6.4500064 2.854     5.3       5.5       5.        0.       ],0.7999999999999998,[3 1 0 2 3 1 0],0
21,0.5,3,4.0899999999999964e-05,0.0001900999999999999,"[6.2250032  6.77643556 3.0916     5.66       5.5        5.
 0.        ]",0.3600000000000003,[3 1 0 2 3 1 0],0
22,0.5,4,4.09000000000004e-05,0.0002310000000000003,"[6.38821778 6.91272162 3.18664    5.822      5.5        5.
 0.        ]",0.16321458,[3 1 0 2 3 1 0],0
23,0.5,5,4.1099999999999644e-05,0.00027209999999999995,"[6.45636081 6.96980753 3.224656   5.8949     5.5        5.
 0.        ]",0.07289999999999974,[3 1 0 2 3 1 0],0
24,0.5,6,4.059999999999958e-05,0.0003126999999999995,"[6.48490376 6.99379906 3.2398624  5.927705   5.5        5.
 0.        ]",0.03280499999999975,[3 1 0 2 3 1 0],0
25,0.5,7,4.069999999999985e-05,0.0003533999999999994,"[6.49689953 7.00391639 3.24594496 5.94246725 5.5        5.
 0.        ]",0.014762250000000421,[3 1 0 2 3 1 0],0
26,0.6,0,5.9800000000000044e-05,5.9800000000000044e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
27,0.6,1,4.5200000000000014e-05,0.00010500000000000006,[6.        6.1142912 2.432     4.8       6.        5.        0.       ],3.0,[3 1 0 2 3 1 0],0
28,0.6,2,4.300000000000007e-05,0.00014800000000000013,"[6.66857472 6.86515098 3.28736    5.952      6.         5.
 0.        ]",1.1520000000000001,[3 1 0 2 3 1 0],0
29,0.6,3,4.6700000000000214e-05,0.00019470000000000034,"[7.11909059 7.42922056 3.6979328  6.57408    6.         5.
 0.        ]",0.6220799999999995,[3 1 0 2 3 1 0],0
30,0.6,4,4.4200000000000315e-05,0.00023890000000000066,"[7.45753234 7.71182335 3.89500774 6.9100032  6.         5.
 0.        ]",0.3384417530880004,[3 1 0 2 3 1 0],0
31,0.6,5,4.609999999999944e-05,0.0002850000000000001,"[7.62709401 7.85387135 3.98960372 7.09140173 6.         5.
 0.        ]",0.1813985279999999,[3 1 0 2 3 1 0],0
32,0.6,6,4.25e-05,0.0003275000000000001,"[7.71232281 7.92550967 4.03500978 7.18935693 6.         5.
 0.        ]",0.09795520511999989,[3 1 0 2 3 1 0],0
33,0.6,7,4.2099999999999776e-05,0.0003695999999999999,"[7.7553058  7.96176191 4.0568047  7.24225274 6.         5.
 0.        ]",0.052895810764800544,[3 1 0 2 3 1 0],0
34,0.6,8,4.19000000000001e-05,0.0004115,"[7.77705715 7.98017055 4.06726625 7.27081648 6.         5.
 0.        ]",0.028563737812991263,[3 1 0 2 3 1 0],0
35,0.6,9,4.169999999999955e-05,0.0004531999999999995,"[7.78810233 7.98955078 4.0722878  7.2862409  6.         5.
 0.        ]",0.015424418419016206,[3 1 0 2 3 1 0],0
36,0.7000000000000001,0,5.9700000000000204e-05,5.9700000000000204e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
37,0.7000000000000001,1,4.4599999999999675e-05,0.00010429999999999988,[6.5       6.3000064 2.604     5.1       6.5       5.        0.       ],3.5,[3 1 0 2 3 1 0],0
38,0.7000000000000001,2,4.270000000000055e-05,0.00014700000000000043,"[7.41000448 7.32200998 3.76824    6.668      6.5        5.
 0.        ]",1.5680000000000014,[3 1 0 2 3 1 0],0
39,0.7000000000000001,3,4.0700000000000285e-05,0.0001877000000000007,"[8.12540699 8.2177316  4.4202144  7.65584    6.5        5.
 0.        ]",0.9878400000000003,[3 1 0 2 3 1 0],0
40,0.7000000000000001,4,4.079999999999969e-05,0.0002285000000000004,"[8.75241212 8.74128814 4.78532006 8.2781792  6.5        5.
 0.        ]",0.6270051305279978,[3 1 0 2 3 1 0],0
41,0.7000000000000001,5,4.6000000000000034e-05,0.00027450000000000044,"[9.1189017  9.04830984 4.98977924 8.6702529  6.5        5.
 0.        ]",0.39207369599999886,[3 1 0 2 3 1 0],0
42,0.7000000000000001,6,4.099999999999937e-05,0.0003154999999999998,"[9.33381689 9.22895492 5.10427637 8.91725932 6.5        5.
 0.        ]",0.24700642847999887,[3 1 0 2 3 1 0],0
43,0.7000000000000001,7,4.040000000000033e-05,0.00035590000000000014,"[9.46026844 9.3356053  5.16839477 9.07287337 6.5        5.
 0.        ]",0.15561404994240036,[3 1 0 2 3 1 0],0
44,0.7000000000000001,8,4.0399999999999464e-05,0.0003962999999999996,"[9.53492371 9.39878768 5.20430107 9.17091023 6.5        5.
 0.        ]",0.09803685146371421,[3 1 0 2 3 1 0],0
45,0.7000000000000001,9,4.390000000000036e-05,0.00044019999999999997,"[9.57915137 9.43634845 5.2244086  9.23267344 6.5        5.
 0.        ]",0.06176321642213978,[3 1 0 2 3 1 0],0
46,0.7000000000000001,10,4.130000000000019e-05,0.00048150000000000016,"[9.60544391 9.45875502 5.23566882 9.27158427 6.5        5.
 0.        ]",0.03891082634594767,[3 1 0 2 3 1 0],0
47,0.7000000000000001,11,4.119999999999992e-05,0.0005227000000000001,"[9.62112851 9.47216741 5.24197454 9.29609809 6.5        5.
 0.        ]",0.024513820597945823,[3 1 0 2 3 1 0],0
48,0.7000000000000001,12,4.030000000000006e-05,0.0005630000000000001,"[9.63051718 9.4802231  5.24550574 9.3115418  6.5        5.
 0.        ]",0.015443706976707716,[3 1 0 2 3 1 0],0
49,0.8,0,5.769999999999994e-05,5.769999999999994e-05,[3.  5.  1.4 3.  3.  5.  0. ],5.0,[3 1 0 2 3 1 0],5
50,0.8,1,4.399999999999977e-05,0.00010169999999999971,[7.        6.4857216 2.776     5.4       7.        5.        0.       ],4.0,[3 1 0 2 3 1 0],0
51,0.8,2,4.220000000000005e-05,0.00014389999999999976,"[8.18857728 7.82058342 4.29664    7.448      7.         5.
 0.        ]",2.048,[3 1 0 2 3 1 0],0
52,0.8,3,4.1099999999999644e-05,0.0001849999999999994,"[9.25646674 9.15763726 5.2698496  8.92256    7.         5.
 0.        ]",1.4745600000000003,[3 1 0 2 3 1 0],0
53,0.8,4,4.689999999999989e-05,0.0002318999999999993,"[10.32610981 10.05080161  5.89270374  9.9842432   7.          5.
  0.        ]",1.0696430714880023,[3 1 0 2 3 1 0],0
54,0.8,5,4.119999999999992e-05,0.0002730999999999992,"[11.04064129 10.64939072  6.2913304  10.7486551   7.          5.
  0.        ]",0.7644119039999993,[3 1 0 2 3 1 0],0
